"common_name"	"family"	"order"	"scientific_name"	"status"	"taxon_id"	long_list	sample_collected	sample_acquired	in_progress	insdc_submitted	insdc_open	published
"banded killifish"	"Fundulidae"	"Cyprinodontiformes"	"Fundulus diaphanus"	"2-data_progress"	"54267"	VGP	VGP	VGP	VGP			
"American flamingo"	"Phoenicopteridae"	"Phoenicopteriformes"	"Phoenicopterus ruber"	"8-NCBI"	"9217"	VGP	VGP	VGP	VGP	VGP	VGP	
"American robin"	"Turdidae"	"Passeriformes"	"Turdus migratorius"	"0-data_queued"	"9188"	VGP	VGP	VGP				
"trahira"	"Erythrinidae"	"Characiformes"	"Hoplias malabaricus"	"2-data_progress"	"27720"	VGP	VGP	VGP	VGP			
"common swift"	"Apodidae"	"Apodiformes"	"Apus apus"	"8-NCBI"	"8895"	VGP	VGP	VGP	VGP	VGP	VGP	
"cattle"	"Bovidae"	"Artiodactyla"	"Bos taurus"	"8-NCBI"	"9913"	VGP	VGP	VGP	VGP	VGP	VGP	
"pale spear-nosed bat"	"Phyllostomidae"	"Chiroptera"	"Phyllostomus discolor"	"8-NCBI"	"89673"	VGP	VGP	VGP	VGP	VGP	VGP	
"Harpy eagle"	"Accipitridae"	"Falconiformes"	"Harpia harpyja"	"6-asm_curation"	"202280"	VGP	VGP	VGP	VGP			
"eastern musk turtle"	"Kinosternidae"	"Testudines"	"Sternotherus odoratus"	"2-data_progress"	"142480"	VGP	VGP	VGP	VGP			
"copperband butterflyfish"	"Chaetodontidae"	"Chaetodontiformes"	"Chelmon rostratus"	"8-NCBI"	"109905"	VGP	VGP	VGP	VGP	VGP	VGP	
"horn shark"	"Heterodontidae"	"Heterodontiformes"	"Heterodontus francisci"	"2-data_progress"	"7792"	VGP	VGP	VGP	VGP			
"olive python"	"Pythonidae"	"Squamata"	"Liasis olivaceus"	"2-data_progress"	"283338"	VGP	VGP	VGP	VGP			
"house finch"	"Fringillidae"	"Passeriformes"	"Haemorhous mexicanus"	"6-asm_curation"	"30427"	VGP	VGP	VGP	VGP			
"hawaiian crow"	"Corvidae"	"Passeriformes"	"Corvus hawaiiensis"	"8-NCBI"	"134902"	VGP	VGP	VGP	VGP	VGP	VGP	
"Brown-headed cowbird"	"Icteridae"	"Passeriformes"	"Molothrus ater"	"0-data_queued"	"84834"	VGP	VGP	VGP				
"Riggenbach's reed frog"	"Hyperoliidae"	"Anura"	"Hyperolius riggenbachi"	"2-data_progress"	"752182"	VGP	VGP	VGP	VGP			
"painted frog"	"Alytidae"	"Anura"	"Discoglossus pictus"	"7-asm_curated"	"8351"	VGP	VGP	VGP	VGP			
"lanner falcon"	"Falconidae"	"Falconiformes"	"Falco biarmicus"	"7-asm_curated"	"345155"	VGP	VGP	VGP	VGP			
"climbing perch"	"Anabantidae"	"Anabantiformes"	"Anabas testudineus"	"8-NCBI"	"64144"	VGP	VGP	VGP	VGP	VGP	VGP	
"southern two-toed sloth"	"Megalonychidae"	"Folivora"	"Choloepus didactylus"	"8-NCBI"	"27675"	VGP	VGP	VGP	VGP	VGP	VGP	
"chicken"	"Phasianidae"	"Galliformes"	"Gallus gallus"	"8-NCBI"	"9031"	VGP	VGP	VGP	VGP	VGP	VGP	
"Eastern phoebe"	"Tyrannidae"	"Passeriformes"	"Sayornis phoebe"	"1-DNA_isolation"	"56315"	VGP	VGP	VGP	VGP			
"leatherback sea turtle"	"Dermochelyidae"	"Testudines"	"Dermochelys coriacea"	"8-NCBI"	"27794"	VGP	VGP	VGP	VGP	VGP	VGP	
"golden eagle"	"Accipitridae"	"Falconiformes"	"Aquila chrysaetos"	"8-NCBI"	"8962"	VGP	VGP	VGP	VGP	VGP	VGP	
"Western terrestrial garter snake"	"Colubridae"	"Squamata"	"Thamnophis elegans"	"8-NCBI"	"35005"	VGP	VGP	VGP	VGP	VGP	VGP	
"Abyssinian ground-hornbill"	"Bucorvidae"	"Bucerotiformes"	"Bucorvus abyssinicus"	"8-NCBI"	"153643"	VGP	VGP	VGP	VGP	VGP	VGP	
"zebrafish"	"Danionidae"	"Cypriniformes"	"Danio rerio"	"8-NCBI"	"7955"	VGP	VGP	VGP	VGP	VGP	VGP	
"stoplight loosejaw"	"Stomiidae"	"Stomiiformes"	"Malacosteus niger"	"2-data_progress"	"76143"	VGP	VGP	VGP	VGP			
"Philippine flying lemur"	"Cynocephalidae"	"Dermoptera"	"Cynocephalus volans"	"2-data_progress"	"110931"	VGP	VGP	VGP	VGP			
"Mexican gopher tortoise"	"Testudinidae"	"Testudines"	"Gopherus flavomarginatus"	"7-asm_curated"	"286002"	VGP	VGP	VGP	VGP			
"pejerrey"	"Atherinopsidae"	"Atheriniformes"	"Odontesthes bonariensis"	"2-data_progress"	"219752"	VGP	VGP	VGP	VGP			
"acorn worm"	"Harrimaniidae"	"Enteropneusta"	"Saccoglossus kowalevskii"	"2-data_progress"	"10224"	VGP	VGP	VGP	VGP			
"barnacle goose"	"Anatidae"	"Anseriformes"	"Branta leucopsis"	"5-asm_done"	"184711"	VGP	VGP	VGP	VGP			
"diamondback terrapin"	"Emydidae"	"Testudines"	"Malaclemys terrapin"	"2-data_progress"	"8485"	VGP	VGP	VGP	VGP			
"white-tufted-ear marmoset"	"Cebidae"	"Primates"	"Callithrix jacchus"	"8-NCBI"	"9483"	VGP	VGP	VGP	VGP	VGP	VGP	
"gyrfalcon"	"Falconidae"	"Falconiformes"	"Falco rusticolus"	"8-NCBI"	"120794"	VGP	VGP	VGP	VGP	VGP	VGP	
"chimpanzee"	"Hominidae"	"Primates"	"Pan troglodytes"	"5-asm_done"	"9598"	VGP	VGP	VGP	VGP			
"orbiculate cardinalfish"	"Apogonidae"	"Kurtiformes"	"Sphaeramia orbicularis"	"8-NCBI"	"375764"	VGP	VGP	VGP	VGP	VGP	VGP	
"shanny"	"Blenniidae"	"Blenniiformes"	"Lipophrys pholis"	"2-data_progress"	"56720"	VGP	VGP	VGP	VGP			
"Indian glassy fish"	"Ambassidae"	"Ovalentaria"	"Parambassis ranga"	"8-NCBI"	"210632"	VGP	VGP	VGP	VGP	VGP	VGP	
"common toad"	"Bufonidae"	"Anura"	"Bufo bufo"	"8-NCBI"	"8384"	VGP	VGP	VGP	VGP	VGP	VGP	
"river trout"	"Salmonidae"	"Salmoniformes"	"Salmo trutta"	"8-NCBI"	"8032"	VGP	VGP	VGP	VGP	VGP	VGP	
"carmine bee-eater"	"Meropidae"	"Coraciiformes"	"Merops nubicus"	"8-NCBI"	"57421"	VGP	VGP	VGP	VGP	VGP	VGP	
"reedfish"	"Polypteridae"	"Polypteriformes"	"Erpetoichthys calabaricus"	"8-NCBI"	"27687"	VGP	VGP	VGP	VGP	VGP	VGP	
"eastern narrow-mouthed toad"	"Microhylidae"	"Anura"	"Gastrophryne carolinensis"	"2-data_progress"	"8429"	VGP	VGP	VGP	VGP			
"delta smelt"	"Osmeridae"	"Osmeriformes"	"Hypomesus transpacificus"	"4-asm_progress"	"137520"	VGP	VGP	VGP	VGP			
"common bottlenose dolphin"	"Delphinidae"	"Artiodactyla"	"Tursiops truncatus"	"8-NCBI"	"9739"	VGP	VGP	VGP	VGP	VGP	VGP	
"snow crab"	"Majidae"	"Decapoda"	"Chionoecetes opilio"	"2-data_progress"	"41210"	VGP	VGP	VGP	VGP			
"Nelson's sparrow"	"Passerellidae"	"Passeriformes"	"Ammospiza nelsoni"	"3-data_done"	"2857394"	VGP	VGP	VGP	VGP			
"garden warbler"	"Sylviidae"	"Passeriformes"	"Sylvia borin"	"8-NCBI"	"73324"	VGP	VGP	VGP	VGP	VGP	VGP	
"common myna"	"Sturnidae"	"Passeriformes"	"Acridotheres tristis"	"6-asm_curation"	"279927"	VGP	VGP	VGP	VGP			
"cunner"	"Labridae"	"Perciformes"	"Tautogolabrus adspersus"	"8-NCBI"	"34787"	VGP	VGP	VGP	VGP	VGP	VGP	
"Gabon caecilian"	"Dermophiidae"	"Gymnophiona"	"Geotrypetes seraphini"	"8-NCBI"	"260995"	VGP	VGP	VGP	VGP	VGP	VGP	
"Indo-Pacific tarpon"	"Megalopidae"	"Elopiformes"	"Megalops cyprinoides"	"8-NCBI"	"118141"	VGP	VGP	VGP	VGP	VGP	VGP	
"Atlantic cod"	"Gadidae"	"Gadiformes"	"Gadus morhua"	"8-NCBI"	"8049"	VGP	VGP	VGP	VGP	VGP	VGP	
"nine-banded armadillo"	"Dasypodidae"	"Cingulata"	"Dasypus novemcinctus"	"2-data_progress"	"9361"	VGP	VGP	VGP	VGP			
"smalltooth sawfish"	"Pristidae"	"Rhinopristiformes"	"Pristis pectinata"	"8-NCBI"	"685728"	VGP	VGP	VGP	VGP	VGP	VGP	
"honeycomb rockfish"	"Sebastidae"	"Perciformes"	"Sebastes umbrosus"	"8-NCBI"	"72105"	VGP	VGP	VGP	VGP	VGP	VGP	
"Australian echidna"	"Tachyglossidae"	"Monotremata"	"Tachyglossus aculeatus"	"8-NCBI"	"9261"	VGP	VGP	VGP	VGP	VGP	VGP	
"midwater eelpout"	"Zoarcidae"	"Perciformes"	"Melanostigma pammelas"	"2-data_progress"	"557412"	VGP	VGP	VGP	VGP			
"grey catbird"	"Mimidae"	"Passeriformes"	"Dumetella carolinensis"	"0-data_queued"	"111981"	VGP	VGP	VGP				
"lesser kestrel"	"Falconidae"	"Falconiformes"	"Falco naumanni"	"8-NCBI"	"148594"	VGP	VGP	VGP	VGP	VGP	VGP	
"tawny frogmouth"	"Podargidae"	"Caprimulgiformes"	"Podargus strigoides"	"3-data_done"	"8905"	VGP	VGP	VGP	VGP			
"red-bellied piranha"	"Serrasalmidae"	"Characiformes"	"Pygocentrus nattereri"	"8-NCBI"	"42514"	VGP	VGP	VGP	VGP	VGP	VGP	
"bramble shark"	"Echinorhinidae"	"Echinorhiniformes"	"Echinorhinus brucus"	"1-DNA_isolation"	"862826"	VGP	VGP	VGP	VGP			
"striped catfish"	"Pangasiidae"	"Siluriformes"	"Pangasianodon hypophthalmus"	"7-asm_curated"	"310915"	VGP	VGP	VGP	VGP			
"Pallas's mastiff bat"	"Molossidae"	"Chiroptera"	"Molossus molossus"	"8-NCBI"	"27622"	VGP	VGP	VGP	VGP	VGP	VGP	
"Whooping crane"	"Gruidae"	"Gruiformes"	"Grus americana"	"4-asm_progress"	"9117"	VGP	VGP	VGP	VGP			
"California sea lion"	"Otariidae"	"Carnivora"	"Zalophus californianus"	"8-NCBI"	"9704"	VGP	VGP	VGP	VGP	VGP	VGP	
"chipping sparrow"	"Passerellidae"	"Passeriformes"	"Spizella passerina"	"1-DNA_isolation"	"40210"	VGP	VGP	VGP	VGP			
"tarantolino"	"Sphaerodactylidae"	"Squamata"	"Euleptes europaea"	"2-data_progress"	"460621"	VGP	VGP	VGP	VGP			
""	"Arcidae"	"Arcoida"	"Anadara tuberculosa"	"0-data_queued"	"173065"	VGP	VGP	VGP				
"common yellowthroat"	"Parulidae"	"Passeriformes"	"Geothlypis trichas"	"8-NCBI"	"135433"	VGP	VGP	VGP	VGP	VGP	VGP	
"Green sea turtle"	"Cheloniidae"	"Testudines"	"Chelonia mydas"	"8-NCBI"	"8469"	VGP	VGP	VGP	VGP	VGP	VGP	
""	"Trichomycteridae"	"Siluriformes"	"Trichomycterus rosablanca"	"0-data_queued"	"2290929"	VGP	VGP	VGP				
