superorder	orders_latin_name	species_sequenced	status	main_project	second_project	phylum	phase1	sample_collected	sample_acquired	in_progress	open	insdc_open	published
Core waterbirds	Gruiformes (Gruidae)	Grus americana		VGP		Chordata	VGP						
Core waterbirds	Gruiformes (Rallidae)	Porphyrio hochstetteri		VGP		Chordata	VGP						
Core waterbirds	Gruiformes (Rallidae)	Porphyrio hochstetteri		VGP		Chordata	VGP						
Core waterbirds	Opisthocomiformes	Opisthocomus hoazin	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Caprimulgimorphae	Trochiliformes	Calypte anna	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Caprimulgimorphae	Trochiliformes	Phaethornis superciliosus		Self		Chordata	VGP						
Caprimulgimorphae	Apodiformes	Apus apus	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Caprimulgimorphae	Apodiformes (Hemiprocnidae)	Hemiprocne comata	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Caprimulgimorphae	Caprimulgiformes (Caprimulgidae)	Caprimulgus europaeus	open	DToL	VGP	Chordata	VGP	VGP	VGP	VGP	VGP		
Caprimulgimorphae	Caprimulgiformes (Aegothelidae)	Aegotheles insignis				Chordata	VGP						
Caprimulgimorphae	Caprimulgiformes (Podargidae)	Podargus strigoides	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Caprimulgimorphae	Caprimulgiformes (Steatornithidae)	Steatornis caripensis	in_progress			Chordata	VGP	VGP	VGP	VGP			
Caprimulgimorphae	Caprimulgiformes (Nyctibiidae)	Nyctibius grandis	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Otidimorphae	Otidiformes	Chlamydotis macqueenii	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Otidimorphae	Musophagiformes	Tauraco erythrolophus	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Otidimorphae	Cuculiformes	Cuculus canorus	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Columbea	Mesitornithiformes	Mesitornis unicolor				Chordata	VGP						
Columbea	Pterocliformes	Pterocles gutturalis	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Columbea	Columbiformes	Streptopelia turtur	open	Sanger 25G		Chordata	VGP	VGP	VGP	VGP	VGP		
Columbea	Phoenicopteriformes	Phoenicopterus ruber	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Columbea	Podicipediformes	Podiceps cristatus	in_progress			Chordata	VGP	VGP	VGP	VGP			
GalloAnserformes	Galliformes (Phasianidae)	Gallus gallus	open			Chordata	VGP	VGP	VGP	VGP	VGP		
GalloAnserformes	Galliformes (Phasianidae)	Gallus gallus				Chordata	VGP						
GalloAnserformes	Galliformes (Phasianidae)	Gallus gallus				Chordata	VGP						
GalloAnserformes	Galliformes (Phasianidae)	Gallus gallus				Chordata	VGP						
GalloAnserformes	Galliformes (Phasianidae)	Gallus gallus				Chordata	VGP						
GalloAnserformes	Galliformes (Phasianidae)	Lagopus muta		VGP		Chordata	VGP						
GalloAnserformes	Galliformes (Phasianidae)	Tetrao urogallus				Chordata	VGP						
GalloAnserformes	Anseriformes (Anatidae)	Aythya fuligula	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
GalloAnserformes	Anseriformes (Anatidae)	Anas platyrhynchos domestica				Chordata	VGP						
GalloAnserformes	Anseriformes (Anatidae)	Cygnus olor		VGP		Chordata	VGP						
Palaeognathae	Struthioniformes	Struthio camelus australis	in_progress			Chordata	VGP	VGP	VGP	VGP			
Palaeognathae	Tinamiformes	Tinamus guttatus				Chordata	VGP						
Palaeognathae	Casuariiformes	Dromaius novaehollandiae	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Palaeognathae	Apterygiformes	Apteryx australis	in_progress			Chordata	VGP	VGP	VGP	VGP			
Palaeognathae	Rheiformes	Rhea pennata	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Crocodylia	Crocodylidae	Crocodylus porosus				Chordata	VGP						
Crocodylia	Alligatoridae	Alligator mississippiensis	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Crocodylia	Gavialidae	Gavialis gangeticus	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Testudines, Cryptodira	Carettochelyidae	Carettochelys insculpta				Chordata	VGP						
Testudines, Cryptodira	Cheloniidae	Chelonia mydas	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Testudines, Cryptodira	Cheloniidae	Caretta caretta		VGP		Chordata	VGP						
