	NCBI_taxon_id	Genus	species	family	target_list_status	sequencing_status	synonym	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	insdc_submitted	insdc_open	published
211	334620	Mesoplophora	pulchra	Mesoplophoridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
212	229776	Metabelba	pulverosa	Damaeidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
213	229747	Microtritia	minima	Euphthiracaridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
214	NA	Microzetes	septentrionalis	NA		in_assembly		metainvert			metainvert	metainvert	metainvert			
215	1979919	Minunthozetes	semirufus	Punctoribatidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
216	1979898	Nanhermannia	comitalis	Nanhermanniidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
217	66595	Nanhermannia		Nanhermanniidae		in_assembly	cf. coronata	metainvert			metainvert	metainvert	metainvert			
218	66595	Nanhermannia	elegantula	Nanhermanniidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
219	198291	Nanhermannia	nana	Nanhermanniidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
220	198293	Nothrus	palustris	Nothridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
221	66602	Nothrus	silvestris	Nothridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
222	198298	Oribatella	quadricornuta	Oribatellidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
223	1979943	Pantelozetes	paolii	Oribellidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
224	708370	Pergalumna	nervosa	Galumnidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
225	229740	Phthiracarus	crinitus	Phthiracaridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
226	229740	Phthiracarus	laevigatus	Phthiracaridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
227	NA	Porobelba	spinosa	NA		in_assembly		metainvert			metainvert	metainvert	metainvert			
228	1720615	Punctoribates	punctum	Punctoribatidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
229	1250640	Quadroppia	maritalis	Quadroppiidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
230	1979935	Scheloribates	initialis	Scheloribatidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
231	1979937	Scheloribates	latipes	Scheloribatidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
232	52000	Steganacarus	magnus	Steganacaridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
233	198303	Tectocepheus	sarekensis	Tectocepheidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
234	229869	Tectocepheus	velatus	Tectocepheidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
235	1251916	Zygoribatula	exilis	Oribatulidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
236	244970	Allopauropus	danicus	Pauropodidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
237	NA	Scolopendrellopsis	subnuda	NA		in_assembly		metainvert			metainvert	metainvert	metainvert			
238	1288507	Symphylella	vulgaris	Scolopendrellidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
239	947160	Isohypsibius	dastychi	Isohypsibiidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
240	697321	Paramacrobiotus	richtersi	Macrobiotidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
