Family	Genus	Species	Status	2020	lowest_priority	2021	2022	sample_collected	other_priority	family_representative	long_list
Lepidoziaceae	Lepidozia	pearsonii	dtol								DTOL
Lepidoziaceae	Lepidozia	reptans	dtol_other_priority	yes				DTOL	DTOL		DTOL
Lepidoziaceae	Telaranea	europaea	dtol								DTOL
Lepidoziaceae	Tricholepidozia	lindenbergii	dtol								DTOL
Lepidoziaceae	Tricholepidozia	tetradactyla	dtol				yes	DTOL			DTOL
Lophocoleaceae	Chiloscyphus	pallescens	dtol_other_priority						DTOL		DTOL
Lophocoleaceae	Chiloscyphus	polyanthos	dtol				yes	DTOL			DTOL
Lophocoleaceae	Heteroscyphus	fissistipus	dtol								DTOL
Lophocoleaceae	Leptoscyphus	cuneifolius	dtol								DTOL
Lophocoleaceae	Lophocolea	bidentata	dtol_family_representative	yes				DTOL		DTOL	DTOL
Lophocoleaceae	Lophocolea	bispinosa	dtol			yes		DTOL			DTOL
Lophocoleaceae	Lophocolea	brookwoodiana	dtol								DTOL
Lophocoleaceae	Lophocolea	fragrans	dtol								DTOL
Lophocoleaceae	Lophocolea	heterophylla	dtol								DTOL
Lophocoleaceae	Lophocolea	semiteres	dtol			yes		DTOL			DTOL
Lophoziaceae	Heterogemma	capitata	dtol								DTOL
Lophoziaceae	Lophozia	excisa	dtol			yes		DTOL			DTOL
Lophoziaceae	Lophozia	guttulata	dtol								DTOL
Lophoziaceae	Lophozia	longidens	dtol								DTOL
Lophoziaceae	Lophozia	ventricosa	dtol_other_priority			yes		DTOL	DTOL		DTOL
Lophoziaceae	Lophozia	wenzelii	dtol								DTOL
Lophoziaceae	Tritomaria	exsecta	dtol								DTOL
Lophoziaceae	Tritomaria	exsectiformis	dtol								DTOL
Lophoziaceae	Tritomaria	quinquedentata	dtol_family_representative	yes				DTOL		DTOL	DTOL
Lunulariaceae	Lunularia	cruciata	dtol_family_representative	yes				DTOL		DTOL	DTOL
Marchantiaceae	Marchantia	polymorpha	dtol_other_priority		yes	yes		DTOL	DTOL		DTOL
Marchantiaceae	Marchantia	polymorpha	dtol								DTOL
Marchantiaceae	Marchantia	quadrata	dtol_family_representative			yes		DTOL		DTOL	DTOL
Mastigophoraceae	Mastigophora	woodsii	dtol_family_representative			yes		DTOL		DTOL	DTOL
Metzgeriaceae	Metzgeria	conjugata	dtol			yes		DTOL			DTOL
Metzgeriaceae	Metzgeria	consanguinea	dtol								DTOL
Metzgeriaceae	Metzgeria	furcata	dtol_family_representative	yes				DTOL		DTOL	DTOL
Metzgeriaceae	Metzgeria	leptoneura	dtol								DTOL
Metzgeriaceae	Metzgeria	pubescens	dtol								DTOL
Metzgeriaceae	Metzgeria	violacea	dtol_other_priority				yes	DTOL	DTOL		DTOL
Moerckiaceae	Moerckia	blyttii	dtol_other_priority						DTOL		DTOL
Moerckiaceae	Moerckia	flotoviana	dtol								DTOL
Moerckiaceae	Moerckia	hibernica	dtol_family_representative							DTOL	DTOL
Myliaceae	Mylia	anomala	dtol_other_priority						DTOL		DTOL
Myliaceae	Mylia	taylorii	dtol_family_representative			yes		DTOL		DTOL	DTOL
Pallaviciniaceae	Pallavicinia	lyellii	dtol_family_representative							DTOL	DTOL
Pelliaceae	Pellia	endiviifolia	dtol_family_representative			yes		DTOL		DTOL	DTOL
Pelliaceae	Pellia	epiphylla	dtol_other_priority			yes		DTOL	DTOL		DTOL
Pelliaceae	Pellia	neesiana	dtol				yes	DTOL			DTOL
Petalophyllaceae	Petalophyllum	ralfsii	dtol_family_representative							DTOL	DTOL
Plagiochilaceae	Pedinophyllum	interruptum	dtol								DTOL
