"Order","Family","Genus","Species","femalediploidnumber","malediploidnumber","haploidnumber","reproductivemode","sexchromosome","notes","citation"
"Orthoptera","Acrididae","Atrachelacris","Atrachelacris unicolor","22","22","11","gonochorous","XY","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Chlorus","Chlorus bolivianus","20","19","10","gonochorous","XO","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Chlorus","Chlorus vittatus","24","23","12","gonochorous","XO","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Cornops","Cornops aquaticum","24","23","12","gonochorous","XO","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Dichroplus","Dichroplus conspersus","24","23","12","gonochorous","XO","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Dichroplus","Dichroplus democraticus","24","23","12","gonochorous","XO","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Dichroplus","Dichroplus elongatus","24","23","12","gonochorous","XO","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Dichroplus","Dichroplus exilis","24","23","12","gonochorous","XO","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Dichroplus","Dichroplus fuscus","24","23","12","gonochorous","XO","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Dichroplus","Dichroplus maculipennis","24","23","12","gonochorous","XO","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Dichroplus","Dichroplus paraelongatus","24","23","12","gonochorous","XO","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Dichroplus","Dichroplus patruelis","22","21","11","gonochorous","XO","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Dichroplus","Dichroplus pratensis","20","19","10","gonochorous","XO","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Dichroplus","Dichroplus schulzi","24","23","12","gonochorous","XO","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Dichroplus","Dichroplus silveiraguidoi","8","8","4","gonochorous","XY","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Dichroplus","Dichroplus vittatus","20","20","10","gonochorous","XY","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Eucephalacris","Eucephalacris borellii","24","23","12","gonochorous","XO","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Eurotettix","Eurotettix minor","22","22","11","gonochorous","XY","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Hyalopteryx","Hyalopteryx rufipennis","24","23","12","gonochorous","XO","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Leiotettix","Leiotettix flavipes","22","22","11","gonochorous","XY","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Leiotettix","Leiotettix pulcher","22","22","11","gonochorous","XY","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Leiotettix","Leiotettix sanguineus","24","23","12","gonochorous","XO","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Leiotettix","Leiotettix viridis","24","23","12","gonochorous","XO","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Nahuelia","Nahuelia rubriventris","24","23","12","gonochorous","XO","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Neopedies","Neopedies brunneri","24","23","12","gonochorous","XO","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Parascopas","Parascopas sanguineus","24","23","12","gonochorous","XO","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Pseudoscopas","Pseudoscopas nigrigena","24","23","12","gonochorous","XO","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Schistocerca","Schistocerca cancellata","24","23","12","gonochorous","XO","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Schistocerca","Schistocerca flavofasciata","24","23","12","gonochorous","XO","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Schistocerca","Schistocerca pallens","24","23","12","gonochorous","XO","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Scotussa","Scotussa cliens","22","21","11","gonochorous","XO","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Scotussa","Scotussa delicatula","16","16","8","gonochorous","XY","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
