family	genus	species	merged_genus_species	number_chromosomes	min_k	reference	ncbi_taxon_code	name	preferred_name_at_ncbi	taxid
Geometridae	Epirrhoe	trista	Epirrhoe trista	30	30	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Epirrhoe trista	NA	NA
Geometridae	Eulype	hastata	Eulype hastata	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Eulype hastata	NA	NA
Geometridae	Eulype	subhastata	Eulype subhastata	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Eulype subhastata	NA	NA
Geometridae	Euphyia	corylata	Euphyia corylata	30	30	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Euphyia corylata	NA	NA
Geometridae	Euphyia	cucullata	Euphyia cucullata	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Euphyia cucullata	NA	NA
Geometridae	Euphyia	luctuata	Euphyia luctuata	30	30	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Euphyia luctuata	NA	NA
Geometridae	Hydrelia	testaceata	Hydrelia testaceata	13	13	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Hydrelia testaceata	NA	NA
Geometridae	Hydriomena	coerulata	Hydriomena coerulata	30	30	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Hydriomena coerulata	NA	NA
Geometridae	Larentia	autumnalis	Larentia autumnalis	30	30	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Larentia autumnalis	NA	NA
Geometridae	Lyncometra	ocellata	Lyncometra ocellata	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Lyncometra ocellata	NA	NA
Geometridae	Nyssia	zonaria	Nyssia zonaria	56	56	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Nyssia zonaria	NA	NA
Geometridae	Oporinia	autumnata	Oporinia autumnata	38	38	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Oporinia autumnata	NA	NA
Geometridae	Oporinia	christyi	Oporinia christyi	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Oporinia christyi	NA	NA
Geometridae	Oporinia	dilutata	Oporinia dilutata	30	30	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Oporinia dilutata	NA	NA
Geometridae	Oporinia	filigrammaria	Oporinia filigrammaria	37	37	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Oporinia filigrammaria	NA	NA
Geometridae	Perizoma	taeniata	Perizoma taeniata	32	32	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Perizoma taeniata	NA	NA
Geometridae	Plemyria	bicolorata	Plemyria bicolorata	29-31	29	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Plemyria bicolorata	NA	NA
Geometridae	Poecilopsis	pomonaria	Poecilopsis pomonaria	51	51	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Poecilopsis pomonaria	NA	NA
