institute	id_number	project	higher_group	family	genus	species	standard	buffer	mean1	mean2	cv1	cv2	ratio	ave_sample	ave_standard	gs_pg_2c_replicate	gs_pg_2c	gs_pg_1c	x1c_gbp	cv_sample	cv_standard	sd_r_sample	stdv_gs	measured_by	date	d_to_l_specimen_id	previous_estimate_2c_prime	comments_on_d_to_l_sample	x30	x31	x32	primary
RBGE	DB1670	DTOL	Bryophyte	Neckeraceae	Neckera	complanata	<Oryza	OXPRO	205.13	412.66	4.03	3.92	2.012	211.7	426.32	NA	0.99	0.5	0.49	4.35	3.82	0.004	NA	Sahr Mian	17/03/2022	NA	NA	NA	NA	NA	NA	1
RBGE	DB1672	DTOL	Bryophyte	Calligeronaceae	Calligeron	cordifolium	<Oryza	OXPRO	245.61	388.13	4.79	3.9	1.58	258.85	404.79	NA	0.64	0.32	0.31	4.33	3.91	0.014	NA	Sahr Mian	17/03/2022	NA	NA	2C measured	NA	NA	NA	1
RBGE	DB1674	DTOL	Bryophyte	Archidiaceae	Archidium	alternifolium	<Oryza	OXPRO	141.15	245.33	4.35	5.13	1.738	142.84	250.16	NA	1.14	0.57	0.56	4.18	4.08	0.018	NA	Sahr Mian	17/03/2022	NA	NA	NA	NA	NA	NA	1
Sterling	P556-5	DTOL	Angiosperm	Scrophulariaceae	Mimulus	guttatus	<Solanum	OXPRO	129.72	329.67	3.62	2.52	2.541	133.84	336.3	NA	0.8	0.4	0.39	3.46	2.76	0.027	NA	Sahr Mian	15/03/2022	NA	0.74	NA	NA	NA	NA	1
Sterling	P556-3	DTOL	Angiosperm	Scrophulariaceae	Mimulus	guttatus	<Solanum	OXPRO	139.48	331.01	4.46	2.93	2.373	142.61	335.96	NA	0.85	0.42	0.42	4.54	3.28	0.027	NA	Sahr Mian	15/03/2022	NA	0.74	NA	NA	NA	NA	1
Sterling	10-QUA-65-1	DTOL	Angiosperm	Scrophulariaceae	Mimulus	guttatus	<Petro	GPB3%PVP	194.87	501.81	4.81	2.85	2.575	202.61	512.23	NA	1.78	0.89	0.87	4.65	2.99	0.048	NA	Sahr Mian	15/03/2022	NA	-	Tetraploid	NA	NA	NA	1
Sterling	P554-3	DTOL	Angiosperm	Scrophulariaceae	Mimulus	luteus	<Solanum	OXPRO	228.36	307.59	4.82	4.75	1.347	233.22	313.44	NA	1.49	0.74	0.73	4.11	4.62	0.004	NA	Sahr Mian	15/03/2022	NA	-	NA	NA	NA	NA	1
Sterling	P553-3	DTOL	Angiosperm	Scrophulariaceae	Mimulus	peregrinus	<Petro	GPB3%PVP	293.08	565.55	4.63	3.08	1.93	310.41	590.12	NA	2.37	1.18	1.16	4.62	3.17	0.024	NA	Sahr Mian	15/03/2022	NA	-	NA	NA	NA	NA	1
RBGE	DMR155	DTOL	Angiosperm	Liliaceae	Gagea	lutea	>Allium	GBP3%PVP	325.03	413.87	2.95	3.19	1.273	420.97	330.66	NA	44.42	22.21	21.72	3	2.85	0.000	NA	Sahr Mian	24/03/2022	NA	39.50	NA	NA	NA	NA	1
RBGE	DMR157	DTOL	Angiosperm	Amaryllidaceae	Allium	paradoxum	>Allium	GBP3%PVP	300.04	476.87	3.85	3.4	1.589	490.12	309.25	NA	55.3	27.65	27.04	3.27	3.72	0.006	NA	Sahr Mian	24/03/2022	NA	53.50	NA	NA	NA	NA	1
RBGE	DMR158	DTOL	Angiosperm	Brassicaceae	Cardamine	hirsuta	<Solanum	LB01 1%PVP	291.29	564.91	4.48	4.26	1.939	290.49	563.2	NA	0.52	0.26	0.25	4.27	3.84	0.008	NA	Sahr Mian	NA	NA	0.46	4C peak measured	NA	NA	NA	1
