taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2403825	Muraena miliaris (Kaup, 1856)	2403816	Gymnothorax miliaris (Kaup, 1856)	1	SPECIES	SYNONYM	Animalia	1	Chordata	44			Anguilliformes	495	Muraenidae	2953	Gymnothorax	2403463	Gymnothorax miliaris	2403816	LC
2404185	Enchelycore carychroa Böhlke & Böhlke, 1976	2404185	Enchelycore carychroa Böhlke & Böhlke, 1976	13	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Anguilliformes	495	Muraenidae	2953	Enchelycore	2404184	Enchelycore carychroa	2404185	LC
2407141	Melichthys niger (Bloch, 1786)	2407141	Melichthys niger (Bloch, 1786)	9	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Tetraodontiformes	772	Balistidae	5899	Melichthys	2407140	Melichthys niger	2407141	LC
2407147	Melichthys piceus (Poey, 1863)	2407141	Melichthys niger (Bloch, 1786)	1	SPECIES	SYNONYM	Animalia	1	Chordata	44			Tetraodontiformes	772	Balistidae	5899	Melichthys	2407140	Melichthys niger	2407141	NE
2418162	Carcharhinus porosus (Ranzani, 1839)	2418162	Carcharhinus porosus (Ranzani, 1839)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Elasmobranchii	121	Carcharhiniformes	887	Carcharhinidae	2211	Carcharhinus	2417963	Carcharhinus porosus	2418162	CR
3169833	Lochnera rosea (L.) Rchb. ex Endl.	3169830	Catharanthus roseus (L.) G.Don	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Apocynaceae	6701	Catharanthus	3169829	Catharanthus roseus	3169830	NE
3169830	Catharanthus roseus (L.) G.Don	3169830	Catharanthus roseus (L.) G.Don	7	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Apocynaceae	6701	Catharanthus	3169829	Catharanthus roseus	3169830	NE
3196911	Sargassum rigidulum Kütz.	3196902	Sargassum cymosum C.Agardh	1	SPECIES	SYNONYM	Chromista	4	Ochrophyta	98	Phaeophyceae	7073593	Fucales	1182	Sargassaceae	7733	Sargassum	3196548	Sargassum cymosum	3196902	NE
3196902	Sargassum cymosum C.Agardh	3196902	Sargassum cymosum C.Agardh	12	SPECIES	ACCEPTED	Chromista	4	Ochrophyta	98	Phaeophyceae	7073593	Fucales	1182	Sargassaceae	7733	Sargassum	3196548	Sargassum cymosum	3196902	NE
3198492	Hydroclathrus cancellatus Bory	3198487	Hydroclathrus clathratus (C.Agardh) M.Howe	5	SPECIES	SYNONYM	Chromista	4	Ochrophyta	98	Phaeophyceae	7073593	Scytosiphonales	1309	Scytosiphonaceae	8501	Hydroclathrus	3198483	Hydroclathrus clathratus	3198487	NE
3198487	Hydroclathrus clathratus (C.Agardh) M.Howe	3198487	Hydroclathrus clathratus (C.Agardh) M.Howe	4	SPECIES	ACCEPTED	Chromista	4	Ochrophyta	98	Phaeophyceae	7073593	Scytosiphonales	1309	Scytosiphonaceae	8501	Hydroclathrus	3198483	Hydroclathrus clathratus	3198487	NE
3649109	Sacoglottis amazonica Mart.	3649109	Sacoglottis amazonica Mart.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Humiriaceae	3231239	Sacoglottis	7320134	Sacoglottis amazonica	3649109	LC
8078178	Dictyosphaeria favulosa (C.Aghardh) Decaisne	8078178	Dictyosphaeria favulosa (C.Aghardh) Decaisne	1	SPECIES	ACCEPTED	Plantae	6	Chlorophyta	36	Ulvophyceae	195	Siphonocladales	1365	Siphonocladaceae	4860	Dictyosphaeria	8120158	Dictyosphaeria favulosa	8078178	NE
10902567	Oenone fulgida (Savigny, 1818)	5197940	Oenone fulgida (Lamarck, 1818)	2	SPECIES	SYNONYM	Animalia	1	Annelida	42	Polychaeta	256	Eunicida	865	Oenonidae	2052	Oenone	10867971	Oenone fulgida	5197940	NE
1649135	Wyeomyia pertinans (Williston, 1896)	1649135	Wyeomyia pertinans (Williston, 1896)	37	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Culicidae	3346	Wyeomyia	1649116	Wyeomyia pertinans	1649135	NE
2227578	Frevillea barbata A.Milne-Edwards, 1880	2227578	Frevillea barbata A.Milne-Edwards, 1880	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Decapoda	637	Euryplacidae	11249789	Frevillea	2227575	Frevillea barbata	2227578	NE
2278811	Eucidaris tribuloides (Lamarck, 1816)	2278811	Eucidaris tribuloides (Lamarck, 1816)	2	SPECIES	ACCEPTED	Animalia	1	Echinodermata	50	Echinoidea	221	Cidaroida	1467	Cidaridae	9515	Eucidaris	2278810	Eucidaris tribuloides	2278811	NE
2286263	Noetia ponderosa (Say, 1822)	2286263	Noetia ponderosa (Say, 1822)	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Bivalvia	137	Arcida	9574493	Noetiidae	6884	Noetia	2286262	Noetia ponderosa	2286263	NE
2287767	Globivenus rugatina (Heilprin, 1887)	2287767	Globivenus rugatina (Heilprin, 1887)	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Bivalvia	137	Venerida	9310756	Veneridae	3445	Globivenus	2287762	Globivenus rugatina	2287767	NE
2290579	Chiroteuthis picteti Joubin, 1894	2290579	Chiroteuthis picteti Joubin, 1894	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Cephalopoda	136	Oegopsida	8403901	Chiroteuthidae	3435	Chiroteuthis	2289843	Chiroteuthis picteti	2290579	LC
2665806	Hydropuntia cornea (J.Agardh) M.J.Wynne	10861215	Crassiphycus corneus (J.Agardh) Gurgel, J.N.Norris & Fredericq	9	SPECIES	SYNONYM	Plantae	6	Rhodophyta	106	Florideophyceae	342	Gracilariales	1401	Gracilariaceae	4944	Crassiphycus	10408522	Crassiphycus corneus	10861215	NE
5279073	Gracilaria cornea J.Agardh	10861215	Crassiphycus corneus (J.Agardh) Gurgel, J.N.Norris & Fredericq	3	SPECIES	SYNONYM	Plantae	6	Rhodophyta	106	Florideophyceae	342	Gracilariales	1401	Gracilariaceae	4944	Crassiphycus	10408522	Crassiphycus corneus	10861215	NE
3153099	Magnolia champaca (L.) Baill. ex Pierre	3153099	Magnolia champaca (L.) Baill. ex Pierre	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Magnoliales	718	Magnoliaceae	4690	Magnolia	2888195	Magnolia champaca	3153099	LC
