ECHabs92	phylum	scientific_name	comment
ECHabs92_Annex_IVa	Arthropoda	Proserpinus proserpina	
ECHabs92_Annex_IVa	Arthropoda	Proterebia afra dalmata	
ECHabs92_Annex_IVa	Arthropoda	Pseudophilotes bavius	
ECHabs92_Annex_IVa	Arthropoda	Xylomoia strix	
ECHabs92_Annex_IVa	Arthropoda	Zerynthia polyxena	
ECHabs92_Annex_IVa	Arthropoda	Apteromantis aptera	
ECHabs92_Annex_IVa	Arthropoda	Aeshna viridis	
ECHabs92_Annex_IVa	Arthropoda	Cordulegaster heros	
ECHabs92_Annex_IVa	Arthropoda	Cordulegaster trinacriae	
ECHabs92_Annex_IVa	Arthropoda	Gomphus graslinii	
ECHabs92_Annex_IVa	Arthropoda	Leucorrhinia albifrons	
ECHabs92_Annex_IVa	Arthropoda	Leucorrhinia caudalis	
ECHabs92_Annex_IVa	Arthropoda	Leucorrhinia pectoralis	
ECHabs92_Annex_IVa	Arthropoda	Lindenia tetraphylla	
ECHabs92_Annex_IVa	Arthropoda	Macromia splendens	
ECHabs92_Annex_IVa	Arthropoda	Ophiogomphus cecilia	
ECHabs92_Annex_IVa	Arthropoda	Oxygastra curtisii	
ECHabs92_Annex_IVa	Arthropoda	Stylurus flavipes	
ECHabs92_Annex_IVa	Arthropoda	Sympecma braueri	
ECHabs92_Annex_IVa	Arthropoda	Baetica ustulata	
ECHabs92_Annex_IVa	Arthropoda	Brachytrupes megacephalus	
ECHabs92_Annex_IVa	Arthropoda	Isophya costata	
ECHabs92_Annex_IVa	Arthropoda	Isophya harzi	
ECHabs92_Annex_IVa	Arthropoda	Isophya stysi	
ECHabs92_Annex_IVa	Arthropoda	Myrmecophilus baronii	
ECHabs92_Annex_IVa	Arthropoda	Odontopodisma rubripes	
ECHabs92_Annex_IVa	Arthropoda	Paracaloptenus caloptenoides	
ECHabs92_Annex_IVa	Arthropoda	Pholidoptera transsylvanica	
ECHabs92_Annex_IVa	Arthropoda	Saga pedo	
ECHabs92_Annex_IVa	Arthropoda	Stenobothrus eurasius	Stenobothrodes eurasius
ECHabs92_Annex_IVa	Arthropoda	Macrothele calpeiana	
ECHabs92_Annex_IVa	Mollusca	Anisus vorticulus	
ECHabs92_Annex_IVa	Mollusca	Caseolus calculus	
ECHabs92_Annex_IVa	Mollusca	Caseolus commixta	
