taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2489888	Dendroica striata (J.R.Forster, 1772)	6092935	Setophaga striata (J.R.Forster, 1772)	1	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Parulidae	5263	Setophaga	2489984	Setophaga striata	6092935	NT
2617011	Bipolaris monoceras (Drechsler) Shoemaker	2617009	Exserohilum monoceras (Drechsler) K.J.Leonard & Suggs	1	SPECIES	SYNONYM	Fungi	5	Ascomycota	95	Dothideomycetes	183	Pleosporales	1047	Pleosporaceae	8315	Exserohilum	9465452	Exserohilum monoceras	2617009	NE
2665077	Trichogloea lubrica J.Agardh, 1876	2665077	Trichogloea lubrica J.Agardh, 1876	5	SPECIES	ACCEPTED	Plantae	6	Rhodophyta	106	Florideophyceae	342	Nemaliales	673	Liagoraceae	4945	Trichogloea	2665070	Trichogloea lubrica	2665077	NE
2688906	Lejeunea flava (Sw.) Nees	2688906	Lejeunea flava (Sw.) Nees	1	SPECIES	ACCEPTED	Plantae	6	Marchantiophyta	9	Jungermanniopsida	126	Porellales	377	Lejeuneaceae	6118	Lejeunea	2688902	Lejeunea flava	2688906	NE
3790437	Sticherus furcatus (L.) Ching	3790437	Sticherus furcatus (L.) Ching	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Gleicheniales	7229400	Gleicheniaceae	6621	Sticherus	7392014	Sticherus furcatus	3790437	NE
5183782	Macandrewia clavatella (Schmidt, 1870)	5183782	Macandrewia clavatella (Schmidt, 1870)	1	SPECIES	ACCEPTED	Animalia	1	Porifera	105	Demospongiae	199	Tetractinellida	7544483	Macandrewiidae	3918	Macandrewia	2252072	Macandrewia clavatella	5183782	NE
5185376	Gorgonia ventalina Linnaeus, 1758	5185376	Gorgonia ventalina Linnaeus, 1758	5	SPECIES	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206	Alcyonacea	1437	Gorgoniidae	8198	Gorgonia	2258179	Gorgonia ventalina	5185376	NE
5185473	Diphyes dispar Chamisso & Eysenhardt, 1821	5185473	Diphyes dispar Chamisso & Eysenhardt, 1821	2	SPECIES	ACCEPTED	Animalia	1	Cnidaria	43	Hydrozoa	205	Siphonophorae	6180736	Diphyidae	8188	Diphyes	2264788	Diphyes dispar	5185473	NE
5192509	Amaea retifera (Dall, 1889)	5192509	Amaea retifera (Dall, 1889)	12	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225			Epitoniidae	2673	Amaea	2300461	Amaea retifera	5192509	NE
5715610	Williamia krebsii (Mörch, 1877)	5715610	Williamia krebsii (Mörch, 1877)	3	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Siphonariida	9747957	Siphonariidae	9605	Williamia	2291225	Williamia krebsii	5715610	NE
6181856	Cerithium eburneum algicola C.B.Adams, 1845	2299069	Cerithium eburneum Bruguière, 1792	1	SUBSPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225			Cerithiidae	6760	Cerithium	2299065	Cerithium eburneum	2299069	
7382686	Frustulia splendens Kützing, 1833	7382686	Frustulia splendens Kützing, 1833	1	SPECIES	ACCEPTED	Chromista	4	Ochrophyta	98	Bacillariophyceae	7947184	Naviculales	7763029	Amphipleuraceae	8328409	Frustulia	7962540	Frustulia splendens	7382686	NE
7883075	Aequipecten muscosus acanthodes (Dall, 1925)	2285819	Lindapecten exasperatus (G.B.Sowerby II, 1842)	4	SUBSPECIES	SYNONYM	Animalia	1	Mollusca	52	Bivalvia	137	Pectinida	9250425	Pectinidae	3472	Lindapecten	2285815	Lindapecten exasperatus	2285819	
8867412	Hantkenina longispina Cushman, 1925	9258210	Hantkenina liebusi Shokhina, 1937	1	SPECIES	SYNONYM	Chromista	4	Foraminifera	8376456	Globothalamea	7434778	Rotaliida	7692889	Hantkeninidae	7499919	Hantkenina	8280098	Hantkenina liebusi	9258210	NE
10058503	Coscinodiscus foraminosus Rattray, 1890	10058503	Coscinodiscus foraminosus Rattray, 1890	2	SPECIES	ACCEPTED	Chromista	4	Ochrophyta	98	Bacillariophyceae	7947184	Coscinodiscales	1098	Coscinodiscaceae	2920	Coscinodiscus	3191512	Coscinodiscus foraminosus	10058503	NE
2235923	Myliusia callocyathus Gray, 1859	2235923	Myliusia callocyathus Gray, 1859	6	SPECIES	ACCEPTED	Animalia	1	Porifera	105	Hexactinellida	146	Sceptrulophora	9264139	Euretidae	3228	Myliusia	2235919	Myliusia callocyathus	2235923	NE
2265495	Lepidopora clavigera Cairns, 1986	2265495	Lepidopora clavigera Cairns, 1986	6	SPECIES	ACCEPTED	Animalia	1	Cnidaria	43	Hydrozoa	205	Anthoathecata	838	Stylasteridae	3363	Lepidopora	2265493	Lepidopora clavigera	2265495	NE
2292842	Tegula fasciata (Born, 1778)	9580477	Agathistoma fasciatum (Born, 1778)	13	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225	Trochida	9715180	Tegulidae	7437686	Agathistoma	4615526	Agathistoma fasciatum	9580477	NE
2390847	Caranx latus Agassiz, 1831	2390847	Caranx latus Agassiz, 1831	51	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Carangidae	4253	Caranx	2390749	Caranx latus	2390847	LC
2403816	Gymnothorax miliaris (Kaup, 1856)	2403816	Gymnothorax miliaris (Kaup, 1856)	7	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Anguilliformes	495	Muraenidae	2953	Gymnothorax	2403463	Gymnothorax miliaris	2403816	LC
2404185	Enchelycore carychroa Böhlke & Böhlke, 1976	2404185	Enchelycore carychroa Böhlke & Böhlke, 1976	13	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Anguilliformes	495	Muraenidae	2953	Enchelycore	2404184	Enchelycore carychroa	2404185	LC
2407141	Melichthys niger (Bloch, 1786)	2407141	Melichthys niger (Bloch, 1786)	9	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Tetraodontiformes	772	Balistidae	5899	Melichthys	2407140	Melichthys niger	2407141	LC
2418162	Carcharhinus porosus (Ranzani, 1839)	2418162	Carcharhinus porosus (Ranzani, 1839)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Elasmobranchii	121	Carcharhiniformes	887	Carcharhinidae	2211	Carcharhinus	2417963	Carcharhinus porosus	2418162	CR
3169833	Lochnera rosea (L.) Rchb. ex Endl.	3169830	Catharanthus roseus (L.) G.Don	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Apocynaceae	6701	Catharanthus	3169829	Catharanthus roseus	3169830	NE
3196911	Sargassum rigidulum Kütz.	3196902	Sargassum cymosum C.Agardh	1	SPECIES	SYNONYM	Chromista	4	Ochrophyta	98	Phaeophyceae	7073593	Fucales	1182	Sargassaceae	7733	Sargassum	3196548	Sargassum cymosum	3196902	NE
3198492	Hydroclathrus cancellatus Bory	3198487	Hydroclathrus clathratus (C.Agardh) M.Howe	5	SPECIES	SYNONYM	Chromista	4	Ochrophyta	98	Phaeophyceae	7073593	Scytosiphonales	1309	Scytosiphonaceae	8501	Hydroclathrus	3198483	Hydroclathrus clathratus	3198487	NE
3649109	Sacoglottis amazonica Mart.	3649109	Sacoglottis amazonica Mart.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Humiriaceae	3231239	Sacoglottis	7320134	Sacoglottis amazonica	3649109	LC
4283560	Asterosmilia prolifera (Pourtalès, 1871)	2258934	Anomocora prolifera (Pourtalès, 1871)	2	SPECIES	SYNONYM	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Caryophylliidae	11260974	Anomocora	11273398	Anomocora prolifera	2258934	NE
5188276	Psolus tuberculosus Théel, 1886	5188276	Psolus tuberculosus Théel, 1886	1	SPECIES	ACCEPTED	Animalia	1	Echinodermata	50	Holothuroidea	222	Dendrochirotida	1482	Psolidae	9551	Psolus	7235269	Psolus tuberculosus	5188276	NE
5969980	Medaeus spinimanus (H.Milne Edwards, 1834)	5969979	Edwardsium spinimanus (H.Milne Edwards, 1834)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Malacostraca	229	Decapoda	637	Xanthidae	4568	Edwardsium	4646927	Edwardsium spinimanus	5969979	NE
6495317	Niso circinata Dall, 1889	6495317	Niso circinata Dall, 1889	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Littorinimorpha	7390893	Eulimidae	6759	Niso	2299691	Niso circinata	6495317	NE
6501738	Olivella barbenthos Recourt, 1989	6501738	Olivella barbenthos Recourt, 1989	8	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Neogastropoda	982	Olividae	2687	Olivella	2302757	Olivella barbenthos	6501738	NE
7773807	Triceratium plumosum Greville, 1864	7773807	Triceratium plumosum Greville, 1864	5	SPECIES	ACCEPTED	Chromista	4	Ochrophyta	98	Bacillariophyceae	7947184	Triceratiales	1151	Triceratiaceae	3306	Triceratium	3191777	Triceratium plumosum	7773807	NE
