species	taxid	comment	synonym	family	long_list	other_priority	family_representative
Acrospermum compressum				Acrospermaceae	DTOL	DTOL	DTOL
Acrospermum pallidulum				Acrospermaceae	DTOL		
Oomyces carneoalbus				Acrospermaceae	DTOL		
Adelococcus interlatens				Adelococcaceae	DTOL	DTOL	DTOL
Sagediopsis barbara				Adelococcaceae	DTOL	DTOL	DTOL
Sagediopsis campsteriana				Adelococcaceae	DTOL		
Sagediopsis lomnitzensis				Adelococcaceae	DTOL		
Chlorophyllum rhacodes				Agaricaceae	DTOL		
Coprinus comatus				Agaricaceae	DTOL		
Echinoderma asperum				Agaricaceae	DTOL		
Leucocoprinus birnbaumii				Agaricaceae	DTOL		
