Species_name_Stace4,#BSBI_name,Family_number,Family,Vernacular,Distribution_number_hectads,Distribution_UK,Ploidy_inferred,"Chromosome_numbers","Chromosome_numbers (Stace index, counts made on non-BI material) [other sources]",Frieda cytology notes,Annual_perennial,GS_1C_pg_min,GS_1C_pg_max,GS_counts,GB status,UoE_prioritisation,Earlham_prioritisation,RBGE_prioritization,York_prioritisation,UoCam comments,Kew priorities,RBGE,Kew living collection,Kew living collection status,MSB,Wytham,Other collection,Easy_availability_living_cols_or_ubiquitous,Species_name_Stace4,Family_number,Family,YEAR 1,YEAR 2,Notes,Buxton PRIORITY
Fumaria purpurea,Fumaria purpurea,34,Papaveraceae,Purple Ramping-fumitory,240,Common,10,80,,,A,,,,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,Y,Fumaria purpurea,34,Papaveraceae,,,,
Fumaria reuteri,Fumaria reuteri,34,Papaveraceae,Martin's Ramping-fumitory,15,Very rare,,48,,,A,,,,archaeophyte,,,,,,,Y,,,MANAGEMENT DECISION-VV,,,Y,Fumaria reuteri,34,Papaveraceae,,,,
Fumaria vaillantii,Fumaria vaillantii,34,Papaveraceae,Few-flowered Fumitory,117,Infrequent,4,32,,,A,,,,archaeophyte,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Fumaria vaillantii,34,Papaveraceae,,,,
Glaucium flavum,Glaucium flavum,34,Papaveraceae,Yellow Horned-poppy,395,Common,2,12,,,P,1.01,1.01,1,native,,,,,,,Y,Y,Unrestricted--;Restricted-Natural Source-Great Britain;Restricted by Agreement-Natural Source-Great Britain;Unrestricted-Natural Source-France;Unrestricted-Natural Source-Nepal,FOR DISTRIBUTION-NV,,,Y,Glaucium flavum,34,Papaveraceae,,,,
Papaver cambricum,Meconopsis cambrica,34,Papaveraceae,Welsh Poppy,1570,Abundant,2,22,,,,,,,native,,,,,,,,,,MANAGEMENT DECISION-VV,,,,Papaver cambricum,34,Papaveraceae,,,,
Papaver dubium,Papaver dubium,34,Papaveraceae,,2294,Ubiquitous,"4, 4, 6","28, 28, 42",,,A,,,,archaeophyte,,,,,,,Y,Y,Unrestricted--,MANAGEMENT DECISION-NV,Y,,Y,Papaver dubium,34,Papaveraceae,,,,
Papaver lecoqii,Papaver lecoqii,34,Papaveraceae,,No info,,4,28,,,A,,,,archaeophyte,,,,,,,,,,FOR DISTRIBUTION-NV,Y,,,Papaver lecoqii,34,Papaveraceae,,,,
Papaver rhoeas,Papaver rhoeas,34,Papaveraceae,Common Poppy,2097,Ubiquitous,2,14,,,A,,,,archaeophyte,,In the list of top 2 arable weeds,,York-RCP British Medicinal Plant List Category 2,,,Y,Y,Restricted by Agreement--;Unrestricted--,FOR DISTRIBUTION-VV,Y,,Y,Papaver rhoeas,34,Papaveraceae,1,,,
Papaver somniferum,Papaver somniferum,34,Papaveraceae,Opium Poppy,1812,Ubiquitous,2,22,22,,A,,,,archaeophyte,,,,York-RCP British Medicinal Plant List Category 2,,,,Y,Unrestricted--,FOR DISTRIBUTION-NV,Y,,Y,Papaver somniferum,34,Papaveraceae,1,,,
Roemeria argemone,Papaver argemone,34,Papaveraceae,Prickly Poppy,TO BE RESOLVED: PROBABLY SYNONYM MISMATCH,,,42,,,,,,,archaeophyte,,,,,,,Y,,,,,,Y,Roemeria argemone,34,Papaveraceae,,,,
Roemeria hispida,Papaver hybridum,34,Papaveraceae,Rough Poppy,TO BE RESOLVED: PROBABLY SYNONYM MISMATCH,,,14,,,,,,,archaeophyte,,,,,,,,,,,,,,Roemeria hispida,34,Papaveraceae,,,,
Roemeria hybrida,Roemeria hybrida,34,Papaveraceae,Violet Horned-poppy,TO BE RESOLVED: PROBABLY SYNONYM MISMATCH,,,,"22, 24",,A,,,,archaeophyte (inferred),,,,,,,,,,,,,,Roemeria hybrida,34,Papaveraceae,,,,
Berberis vulgaris,Berberis vulgaris,35,Berberidaceae,Barberry,1001,Abundant,,,28,,P,1.370842529,1.370842529,1,native or alien,,,,,,,,Y,Unrestricted--;Unrestricted-Natural Source-North Caucasus;Restricted-Natural Source-Gruziya;Unrestricted-Natural Source-Turkey,,Y,,Y,Berberis vulgaris,35,Berberidaceae,1,,,
Mahonia aquifolium,0,35,Berberidaceae,Oregon-grape,1007,Abundant,,,28,,,,,,neophyte,,,,,,,,Y,Unrestricted--British Columbia;Unrestricted--;Unrestricted-Natural Source-British Columbia,,,,Y,Mahonia aquifolium,35,Berberidaceae,1,,,
Actaea spicata,Actaea spicata,36,Ranunculaceae,Baneberry,49,Rare,,,16,,P,9.698654212,9.698654212,1,native,,,,,,,,Y,Unrestricted-Natural Source-North Caucasus;Unrestricted-Natural Source-Great Britain,MANAGEMENT DECISION-NV,,,Y,Actaea spicata,36,Ranunculaceae,,1,,
Adonis annua,Adonis annua,36,Ranunculaceae,Pheasant's-eye,236,Common,,,32,,A,,,,archaeophyte,,,,,,,,Y,Unrestricted--,MANAGEMENT DECISION-NV,,,Y,Adonis annua,36,Ranunculaceae,,,,
Anemone nemorosa,Anemone nemorosa,36,Ranunculaceae,Wood Anemone,2858,Ubiquitous,,30,16-46,,P,18.92464064,18.92464064,1,native,,,,,,,Y,Y,Unrestricted--;Unrestricted-Natural Source-France;Unrestricted-Natural Source-Spain,,Y,,Y,Anemone nemorosa,36,Ranunculaceae,,,,
Aquilegia vulgaris,Aquilegia vulgaris,36,Ranunculaceae,Columbine,1727,Abundant,2,14,,,P,0.339136781,0.339136781,1,native,,,,,,,,Y,Unrestricted-Natural Source-France;Unrestricted--;Unrestricted-Natural Source-Portugal,FOR DISTRIBUTION-NV,Y,,Y,Aquilegia vulgaris,36,Ranunculaceae,,,,
Caltha palustris,Caltha palustris,36,Ranunculaceae,Marsh-marigold,3461,Ubiquitous,"7, 6, 7, 7 (-4), 7 (-1), 7 (-2), 8, 9, 10","56, 48, 56, 52, 55, 54, 64, 72, 80",,,P,7.983432701,16.5,2,native,,,,,,,Y,Y,Unrestricted-Natural Source-Oregon;Unrestricted-Natural Source-Jammu-Kashmir;Unrestricted--;Unrestricted-Natural Source-Great Britain;Restricted-Natural Source-Great Britain;Unrestricted-Natural Source-India,FOR DISTRIBUTION-NV,Y,,Y,Caltha palustris,36,Ranunculaceae,,,,
Clematis vitalba,Clematis vitalba,36,Ranunculaceae,Traveller's-joy,1598,Abundant,2,16,,,P,8.743319896,8.743319896,1,native,,,,,,,,Y,Unrestricted-Natural Source-Great Britain,FOR DISTRIBUTION-NV,Y,,Y,Clematis vitalba,36,Ranunculaceae,,,,
Ficaria verna,Ficaria verna,36,Ranunculaceae,Lesser Celandine,3487,Ubiquitous,"2, 2 (+2), 3 (-4), 3 (-2), 4, 3, 3 (-3)","16, 18, 20, 22, 32, 24, 21",,,P,14.53704624,14.53704624,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,Y,,,Ficaria verna,36,Ranunculaceae,,,,
Helleborus foetidus,Helleborus foetidus,36,Ranunculaceae,Stinking Hellebore,554,Common,2,32,,,P,11.65,11.65,1,native,,,,,,,,Y,Unrestricted-Natural Source-Great Britain;Restricted by Agreement-Natural Source-Italy;Unrestricted--;Unrestricted-Natural Source-Baleares;Restricted by Agreement-Natural Source-Spain;Unrestricted-Natural Source-France;Unrestricted-Natural Source-Italy,MANAGEMENT DECISION-NV,,,Y,Helleborus foetidus,36,Ranunculaceae,,,,
Helleborus viridis,Helleborus viridis,36,Ranunculaceae,Green Hellebore,542,Common,2,32,,,P,15.2,15.2,1,native or alien,,,,,,,,Y,Unrestricted-Natural Source-Italy;Unrestricted-Natural Source-Yugoslavia,FOR DISTRIBUTION-NV,,,Y,Helleborus viridis,36,Ranunculaceae,,,,
Myosurus minimus,Myosurus minimus,36,Ranunculaceae,Mousetail,341,Common,2,16,,,A,1.078585016,1.078585016,1,native or alien,,,,,,,,,,,,,Y,Myosurus minimus,36,Ranunculaceae,,,,
Pulsatilla vulgaris,Pulsatilla vulgaris,36,Ranunculaceae,Pasqueflower,TO BE RESOLVED: PROBABLY SYNONYM MISMATCH,,4,32,,,P,17.4,17.4,1,native,,,,,,,Y,Y,Unrestricted--;Restricted by Agreement-Natural Source-Great Britain;Unrestricted-Natural Source-Switzerland;Restricted by Agreement--France,MANAGEMENT DECISION-NV,,,Y,Pulsatilla vulgaris,36,Ranunculaceae,,,,
Ranunculus acris,Ranunculus acris,36,Ranunculaceae,Meadow Buttercup,3763,Ubiquitous,2,14,,,P,5.19,5.19,1,native,,,,,interetsing flower optical properties,,Y,Y,Unrestricted--;Unrestricted-Natural Source-Great Britain;Restricted by Agreement-Natural Source-Great Britain,FOR DISTRIBUTION-NV,Y,,Y,Ranunculus acris,36,Ranunculaceae,1,,,
Ranunculus aquatilis,Ranunculus aquatilis,36,Ranunculaceae,Common Water-crowfoot,1297,Abundant,6,48,,,A,,,,native,,,,,,,,Y,Restricted-Natural Source-Azerbaydzhan,FOR DISTRIBUTION-VV,Y,,Y,Ranunculus aquatilis,36,Ranunculaceae,,,,
Ranunculus arvensis,Ranunculus arvensis,36,Ranunculaceae,Corn Buttercup,820,Abundant,4,32,,,A,,,,archaeophyte,,,,,,,,Y,Unrestricted-Natural Source-Great Britain,-NV,Y,,Y,Ranunculus arvensis,36,Ranunculaceae,,,,
Ranunculus auricomus,Ranunculus auricomus,36,Ranunculaceae,Goldilocks Buttercup,1614,Abundant,4,32,,,P,5.932465542,9,2,native,,,,,,,Y,Y,Unrestricted-Natural Source-Germany;Unrestricted-Natural Source-Norway;Unrestricted-Natural Source-Great Britain,FOR DISTRIBUTION-VV,Y,,Y,Ranunculus auricomus,36,Ranunculaceae,,,,
Ranunculus baudotii,Ranunculus baudotii,36,Ranunculaceae,Brackish Water-crowfoot,TO BE RESOLVED: PROBABLY SYNONYM MISMATCH,,4,32,,,A,4.2,7.4,2,native,,,,,,,,Y,Unrestricted-Natural Source-Great Britain,FOR DISTRIBUTION-VV,,,Y,Ranunculus baudotii,36,Ranunculaceae,,,,
Ranunculus bulbosus,Ranunculus bulbosus,36,Ranunculaceae,Bulbous Buttercup,2880,Ubiquitous,2,16,,,P,5.231928396,5.231928396,1,native,,,,,,,Y,Y,Restricted by Agreement-Natural Source-Great Britain,FOR DISTRIBUTION-VV,Y,,Y,Ranunculus bulbosus,36,Ranunculaceae,,,,
Ranunculus circinatus,Ranunculus circinatus,36,Ranunculaceae,Fan-leaved Water-crowfoot,648,Common,2,16,,,P,2.97,4,2,native,,,,,,,,Y,Restricted by Agreement-Natural Source-Great Britain,FOR DISTRIBUTION-NV,,,Y,Ranunculus circinatus,36,Ranunculaceae,,,,
Ranunculus flammula,Ranunculus flammula,36,Ranunculaceae,Lesser Spearwort,3609,Ubiquitous,4,32,,,P,5.669381511,5.669381511,1,native,,,,,,,,Y,Restricted by Agreement-Natural Source-Great Britain,MANAGEMENT DECISION-VV,Y,,Y,Ranunculus flammula,36,Ranunculaceae,,,,
Ranunculus fluitans,Ranunculus fluitans,36,Ranunculaceae,River Water-crowfoot,396,Common,"2, 4","16, 32",,,P,,,,native,,,,,,,,,,,Y,,Y,Ranunculus fluitans,36,Ranunculaceae,,,,
Ranunculus hederaceus,Ranunculus hederaceus,36,Ranunculaceae,Ivy-leaved Crowfoot,2263,Ubiquitous,2,16,,,A,2.1,2.1,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,,,,Ranunculus hederaceus,36,Ranunculaceae,,,,
Ranunculus lingua,Ranunculus lingua,36,Ranunculaceae,Greater Spearwort,1046,Abundant,,,"64,128",,P,21.8355278,21.8355278,1,native,,,,,,,,Y,Unrestricted--,FOR DISTRIBUTION-VV,Y,,Y,Ranunculus lingua,36,Ranunculaceae,,,,
Ranunculus omiophyllus,Ranunculus omiophyllus,36,Ranunculaceae,Round-leaved Crowfoot,969,Abundant,4,32,,,A,,,,native,,,,,,,,,,FOR DISTRIBUTION-NV,,,,Ranunculus omiophyllus,36,Ranunculaceae,,,,
Ranunculus ophioglossifolius,Ranunculus ophioglossifolius,36,Ranunculaceae,Adder's-tongue Spearwort,6,Very rare,2,16,,,A,5.6,5.6,1,native,,,,,,,,Y,Unrestricted-Natural Source-Great Britain,MANAGEMENT DECISION-NV,,,Y,Ranunculus ophioglossifolius,36,Ranunculaceae,,,,
Ranunculus paludosus,Ranunculus paludosus,36,Ranunculaceae,Jersey Buttercup,4,Very rare,4,32,,,P,,,,native,,,,,,,,,,,,,,Ranunculus paludosus,36,Ranunculaceae,,,,
Ranunculus parviflorus,Ranunculus parviflorus,36,Ranunculaceae,Small-flowered Buttercup,538,Common,4,28,,,A,3.3,6.2,2,native,,,,,,,,Y,Restricted by Agreement-Natural Source-Great Britain,FOR DISTRIBUTION-NV,Y,,Y,Ranunculus parviflorus,36,Ranunculaceae,,,,
Ranunculus peltatus,Ranunculus peltatus,36,Ranunculaceae,Pond Water-crowfoot,1404,Abundant,4,32,,,A,4.68,4.68,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,Y,,,Ranunculus peltatus,36,Ranunculaceae,,,,
Ranunculus penicillatus,Ranunculus penicillatus,36,Ranunculaceae,Stream Water-crowfoot,947,Abundant,4,32,,,P,4.9,4.9,1,native,,,,,,,,,,FOR DISTRIBUTION-VV,Y,,,Ranunculus penicillatus,36,Ranunculaceae,,,,
Ranunculus repens,Ranunculus repens,36,Ranunculaceae,Creeping Buttercup,3783,Ubiquitous,4,32,,,P,9.039525056,9.039525056,1,native,,,,,,,Y,Y,Restricted by Agreement-Natural Source-Great Britain,FOR DISTRIBUTION-NV,Y,,Y,Ranunculus repens,36,Ranunculaceae,,,,
Ranunculus reptans,Ranunculus reptans,36,Ranunculaceae,Creeping Spearwort,13,Very rare,4,32,,,P,7,7,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Ranunculus reptans,36,Ranunculaceae,,,,
Ranunculus sardous,Ranunculus sardous,36,Ranunculaceae,Hairy Buttercup,582,Common,2,16,,,A,3.2,3.2,1,native or alien,,,,,,,,,,MANAGEMENT DECISION-VV,,,Y,Ranunculus sardous,36,Ranunculaceae,,,,
Ranunculus sceleratus,Ranunculus sceleratus,36,Ranunculaceae,Celery-leaved Buttercup,1852,Ubiquitous,4,32,,,A,3.037403361,3.037403361,1,native,,,,,,,,Y,Unrestricted-Natural Source-Great Britain;Unrestricted--Great Britain,FOR DISTRIBUTION-VV,Y,,Y,Ranunculus sceleratus,36,Ranunculaceae,,,,
Ranunculus trichophyllus,Ranunculus trichophyllus,36,Ranunculaceae,Thread-leaved Water-crowfoot,1373,Abundant,4,32,,,A,4.8,4.8,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,Y,,,Ranunculus trichophyllus,36,Ranunculaceae,,,,
Ranunculus tripartitus,Ranunculus tripartitus,36,Ranunculaceae,Three-lobed Crowfoot,83,Rare,6,48,,,A,4.5,4.5,1,native,,,,,,,,,,MANAGEMENT DECISION-VV,,,,Ranunculus tripartitus,36,Ranunculaceae,,,,
Thalictrum alpinum,Thalictrum alpinum,36,Ranunculaceae,Alpine Meadow-rue,434,Common,2,14,,,P,0.551,0.551,1,native,,,,,,,Y,,,FOR DISTRIBUTION-NV,,,Y,Thalictrum alpinum,36,Ranunculaceae,,,,
Thalictrum flavum,Thalictrum flavum,36,Ranunculaceae,Common Meadow-rue,778,Abundant,12,84,,,P,1.052488544,2.085,2,native,,,,,,,,Y,Restricted by Agreement-Natural Source-Great Britain,FOR DISTRIBUTION-NV,Y,,Y,Thalictrum flavum,36,Ranunculaceae,,,,
Thalictrum minus,Thalictrum minus,36,Ranunculaceae,Lesser Meadow-rue,783,Abundant,6,42,,,P,1.037070102,1.037070102,1,native,,,,,,,Y,Y,Unrestricted-Natural Source-Switzerland;Unrestricted-Natural Source-Gruziya;Unrestricted-Natural Source-India;Unrestricted-Natural Source-Denmark;Unrestricted--,FOR DISTRIBUTION-VV,,,Y,Thalictrum minus,36,Ranunculaceae,,,,
Trollius europaeus,Trollius europaeus,36,Ranunculaceae,Globeflower,872,Abundant,,16,,,P,,,,native,,,,,,,Y,Y,Restricted by Agreement-Natural Source-Great Britain;Unrestricted--;Unrestricted-Natural Source-Great Britain,FOR DISTRIBUTION-NV,,,Y,Trollius europaeus,36,Ranunculaceae,1,,,
Buxus sempervirens,Buxus sempervirens,38,Buxaceae,Box,1084,Abundant,2,28,,,P,1.075,1.075,1,native,,,,,,,,Y,Unrestricted-Natural Source-Great Britain;Unrestricted--;Unrestricted-Natural Source-Spain,MANAGEMENT DECISION-NV,,,Y,Buxus sempervirens,38,Buxaceae,1,,,
Gunnera manicata,0,39,Gunneraceae,Brazilian Giant Rhubarb,48,Rare,,,34,,,,,,neophyte,,,,,,,,Y,Unrestricted--,,,,Y,Gunnera manicata,39,Gunneraceae,,,,
Gunnera tinctoria,0,39,Gunneraceae,Giant Rhubarb,176,Infrequent,,,34,,,,,,neophyte,,,,,,,,Y,Unrestricted--;Restricted by Agreement-Natural Source-Chile South,,,,Y,Gunnera tinctoria,39,Gunneraceae,,1,,
Ribes alpinum,Ribes alpinum,41,Grossulariaceae,Mountain Currant,315,Common,2,16,,,P,0.934077823,0.934077823,1,native,,,,,,,,Y,Unrestricted--;Unrestricted-Natural Source-North Caucasus,MANAGEMENT DECISION-NV,,,Y,Ribes alpinum,41,Grossulariaceae,,,,
Ribes rubrum,Ribes rubrum,41,Grossulariaceae,Red Currant,2051,Ubiquitous,2,16,,,P,0.850374566,0.850374566,1,native or alien,,,,,,,,Y,Unrestricted--,FOR DISTRIBUTION-NV,Y,,Y,Ribes rubrum,41,Grossulariaceae,1,,,
Ribes spicatum,Ribes spicatum,41,Grossulariaceae,Downy Currant,157,Infrequent,,,16,,P,0.97,0.97,1,native,,,,,,,,Y,Unrestricted-Natural Source-Finland,MANAGEMENT DECISION-NV,,,Y,Ribes spicatum,41,Grossulariaceae,,,,
Chrysosplenium alternifolium,Chrysosplenium alternifolium,42,Saxifragaceae,Alternate-leaved Golden-saxifrage,789,Abundant,,48,,,P,0.825398519,0.825398519,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,,,,Chrysosplenium alternifolium,42,Saxifragaceae,,,,
Chrysosplenium oppositifolium,Chrysosplenium oppositifolium,42,Saxifragaceae,Opposite-leaved Golden-saxifrage,2764,Ubiquitous,,42,,,P,0.466621123,0.466621123,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,Y,,,Chrysosplenium oppositifolium,42,Saxifragaceae,,1,,
Micranthes nivalis,Saxifraga nivalis,42,Saxifragaceae,Alpine Saxifrage,76,Rare,,,60,,,,,,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Micranthes nivalis,42,Saxifragaceae,,,,
Micranthes stellaris,Saxifraga stellaris,42,Saxifragaceae,Starry Saxifrage,503,Common,4,28,,,,,,,native,,,,,,,Y,,,FOR DISTRIBUTION-NV,,,Y,Micranthes stellaris,42,Saxifragaceae,,,,
Saxifraga aizoides,Saxifraga aizoides,42,Saxifragaceae,Yellow Saxifrage,438,Common,,26,,,P,,,,native,,,,,,,Y,Y,Restricted by Agreement-Natural Source-Great Britain;Restricted-Natural Source-Great Britain,MANAGEMENT DECISION-NV,,,Y,Saxifraga aizoides,42,Saxifragaceae,,,,
Saxifraga cernua,Saxifraga cernua,42,Saxifragaceae,Drooping Saxifrage,4,Very rare,,,"36, 54, 60, 64, 70",,P,,,,native,,,,,,,,,,,,,,Saxifraga cernua,42,Saxifragaceae,,,,
Saxifraga cespitosa,Saxifraga cespitosa,42,Saxifragaceae,Tufted Saxifrage,13,Very rare,,78,,,P,,,,native,,,,,,,Y,,,MANAGEMENT DECISION-NV,,,Y,Saxifraga cespitosa,42,Saxifragaceae,,,,
Saxifraga granulata,Saxifraga granulata,42,Saxifragaceae,Meadow Saxifrage,1038,Abundant,3,32,,,P,2.327218853,2.327218853,1,native,,,,,,,Y,Y,Unrestricted-Natural Source-Great Britain,FOR DISTRIBUTION-NV,Y,,Y,Saxifraga granulata,42,Saxifragaceae,,,,
Saxifraga hirculus,Saxifraga hirculus,42,Saxifragaceae,Marsh Saxifrage,36,Rare,,,"16, 28, 32",,P,,,,native,,,,,,,,Y,Restricted by Agreement-Natural Source-Northern Ireland,MANAGEMENT DECISION-NV,,,Y,Saxifraga hirculus,42,Saxifragaceae,,1,,
Saxifraga hirsuta,Saxifraga hirsuta,42,Saxifragaceae,Kidney Saxifrage,,Irish endemic,,,,,,,,,,,,,,,,,,,,,,,Saxifraga hirsuta,42,Saxifragaceae,,,,
Saxifraga hypnoides,Saxifraga hypnoides,42,Saxifragaceae,Mossy Saxifrage,530,Common,"3 (+2), 7 (-4), 4 (-2), 6, 8","26, 52, 30, 48, 64",,,P,,,,native,,,,,,,Y,Y,Restricted by Agreement-Natural Source-Great Britain;Unrestricted-Natural Source-Great Britain,MANAGEMENT DECISION-NV,,,Y,Saxifraga hypnoides,42,Saxifragaceae,,,,
Saxifraga oppositifolia,Saxifraga oppositifolia,42,Saxifragaceae,Purple Saxifrage,301,Common,2,26,,,P,1.260025838,1.260025838,1,native,,,,,,,Y,Y,Unrestricted--;Unrestricted-Natural Source-Wyoming;Unrestricted--Europe,MANAGEMENT DECISION-NV,,,Y,Saxifraga oppositifolia,42,Saxifragaceae,,1,,
Saxifraga rivularis,Saxifraga rivularis,42,Saxifragaceae,Highland Saxifrage,21,Very rare,,,"26,52",,P,,,,native,,,,,,,Y,,,MANAGEMENT DECISION-NV,,,Y,Saxifraga rivularis,42,Saxifragaceae,,,,
Saxifraga spathularis,Saxifraga spathularis,42,Saxifragaceae,St Patrick's-cabbage,,Irish endemic,,,,,,,,,,,,,,,,,,,,,,,Saxifraga spathularis,42,Saxifragaceae,,,,
Saxifraga tridactylites,Saxifraga tridactylites,42,Saxifragaceae,Rue-leaved Saxifrage,1308,Abundant,,,22,,A,0.573321743,0.573321743,1,native,,,,,,,,Y,Restricted by Agreement-Natural Source-Great Britain,FOR DISTRIBUTION-NV,Y,,Y,Saxifraga tridactylites,42,Saxifragaceae,,,,
Tolmiea menziesii,0,42,Saxifragaceae,Pick-a-back-plant,285,Common,,,28,,,,,,neophyte,,,,,,,,Y,Restricted by Agreement--Washington,,,,Y,Tolmiea menziesii,42,Saxifragaceae,,,,
Crassula aquatica,Crassula aquatica,43,Crassulaceae,Pigmyweed,2,Very rare,,,42,,A,,,,native or alien,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Crassula aquatica,43,Crassulaceae,,,,
Crassula helmsii,0,43,Crassulaceae,New Zealand Pigmyweed,645,Common,,36,,,,,,,neophyte,,,,,,,,,,,,,Y,Crassula helmsii,43,Crassulaceae,,1,,
Crassula tillaea,Crassula tillaea,43,Crassulaceae,Mossy Stonecrop,126,Infrequent,,,"16, 32, 64",,A,0.315,0.315,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Crassula tillaea,43,Crassulaceae,,,,
Hylotelephium telephium,Sedum telephium,43,Crassulaceae,Orpine,1295,Abundant,2,"24, 26",,,,,,,native,,,,,,,,,,,Y,,,Hylotelephium telephium,43,Crassulaceae,,,,
Petrosedum forsterianum,Sedum forsterianum,43,Crassulaceae,Rock Stonecrop,596,Common,8,c.90,,,,,,,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,Y,Petrosedum forsterianum,43,Crassulaceae,,,,
Rhodolia rosea,Sedum rosea,43,Crassulaceae,Roseroot,TO BE RESOLVED: PROBABLY SYNONYM MISMATCH,,,22,,,,,,,native,,,,,,,,,,,,,,Rhodolia rosea,43,Crassulaceae,,,,
Sedum acre,Sedum acre,43,Crassulaceae,Biting Stonecrop,2703,Ubiquitous,,80,,,P,0.755,1.25048715,2,native,,,,,,,,,,FOR DISTRIBUTION-VV,Y,,,Sedum acre,43,Crassulaceae,,,,
Sedum anglicum,Sedum anglicum,43,Crassulaceae,English Stonecrop,1490,Abundant,,"120-130, 160",,,P,,,,native,,,,,,,Y,,,FOR DISTRIBUTION-NV,,,Y,Sedum anglicum,43,Crassulaceae,,,,
Sedum villosum,Sedum villosum,43,Crassulaceae,Hairy Stonecrop,213,Infrequent,,,30,,P,0.372787871,0.372787871,1,native,,,,,,,,Y,Restricted by Agreement-Natural Source-Great Britain,MANAGEMENT DECISION-NV,,,Y,Sedum villosum,43,Crassulaceae,,,,
Umbilicus rupestris,Umbilicus rupestris,43,Crassulaceae,Navelwort,1464,Abundant,,48,,,P,0.44,0.44,1,native,,,,,,,Y,Y,Restricted by Agreement-Natural Source-,FOR DISTRIBUTION-VV,Y,,Y,Umbilicus rupestris,43,Crassulaceae,1,,,
Myriophyllum alterniflorum,Myriophyllum alterniflorum,44,Haloragaceae,Alternate Water-milfoil,1717,Abundant,2,14,,,P,0.227439066,0.5,2,native,,,,,,,,,,FOR DISTRIBUTION-NV,,,,Myriophyllum alterniflorum,44,Haloragaceae,,1,,
Myriophyllum aquaticum,0,44,Haloragaceae,Parrot's Feather,288,Common,,,,,,,,,neophyte,,,,,,,,,,,,,Y,Myriophyllum aquaticum,44,Haloragaceae,,,,
Myriophyllum spicatum,Myriophyllum spicatum,44,Haloragaceae,Spiked Water-milfoil,1792,Ubiquitous,6,42,,,P,0.3,1.385,3,native,,,,,,,,Y,Restricted by Agreement-Natural Source-Great Britain,FOR DISTRIBUTION-NV,Y,,Y,Myriophyllum spicatum,44,Haloragaceae,,,,
Myriophyllum verticillatum,Myriophyllum verticillatum,44,Haloragaceae,Whorled Water-milfoil,474,Common,4,28,,,P,0.468428001,0.468428001,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,Y,,Y,Myriophyllum verticillatum,44,Haloragaceae,,,,
Anthyllis vulneraria,Anthyllis vulneraria,46,Fabaceae,Kidney Vetch,2325,Ubiquitous,2,12,12,,P,0.401390741,0.401390741,1,native,,,,,,,Y,Y,Unrestricted--,FOR DISTRIBUTION-NV,,,Y,Anthyllis vulneraria,46,Fabaceae,,,,
Astragalus alpinus,Astragalus alpinus,46,Fabaceae,Alpine Milk-vetch,4,Very rare,,,"16, 32",,P,1.99,1.99,1,native,,,,,,,Y,,,MANAGEMENT DECISION-NV,,,Y,Astragalus alpinus,46,Fabaceae,,,,
Astragalus danicus,Astragalus danicus,46,Fabaceae,Purple Milk-vetch,248,Common,2,16,,,P,0.64,1.229531039,2,native,,,,,,,Y,,,MANAGEMENT DECISION-NV,,,Y,Astragalus danicus,46,Fabaceae,,,,
Astragalus glycyphyllos,Astragalus glycyphyllos,46,Fabaceae,Wild Liquorice,352,Common,2,16,16,,P,0.715805401,0.715805401,1,native,,,,,,,,Y,Unrestricted-Natural Source-France;Unrestricted-Natural Source-Germany,FOR DISTRIBUTION-VV,Y,,Y,Astragalus glycyphyllos,46,Fabaceae,,,,
Cytisus scoparius,Cytisus scoparius,46,Fabaceae,Broom,2893,Ubiquitous,4,"24, 26, 48",,,P,0.913666911,0.913666911,1,native,,,,,,,Y,Y,Unrestricted-Natural Source-Germany;Unrestricted-Natural Source-Great Britain;Unrestricted--;Restricted by Agreement-Natural Source-Spain;Restricted by Agreement-Natural Source-Great Britain,MANAGEMENT DECISION-NV,,,Y,Cytisus scoparius,46,Fabaceae,,,,
Ervilia hirsuta,Vicia hirsuta,46,Fabaceae,Hairy Tare,2241,Ubiquitous,2,14,,,,,,,native,,,,,,,,,,,,,,Ervilia hirsuta,46,Fabaceae,,,,
Ervilia sylvatica,Vicia sylvatica,46,Fabaceae,Wood Vetch,685,Common,,14,,,,,,,native,,,,,,,Y,,,,,,Y,Ervilia sylvatica,46,Fabaceae,,,,
Ervum gracile,Vicia parviflora,46,Fabaceae,Slender Tare,#N/A,,,,14,,,,,,native,,,,,,,,,,,,,,Ervum gracile,46,Fabaceae,,,,
