Order	Family	Genus	Species	species author	infraspecific	common name	Hybrid	Sexual system	selfing	Growth Form	Woodiness count	Life_Form	gametophytic	gametophytic_min	sporophytic	sporophytic_min	karyotype	mol_basis	genotypic
Apiales	Apiaceae	Aciphylla	montana	J.B.Armstr.				dioecy											
Apiales	Apiaceae	Aciphylla	multisecta	Cheeseman											22	22			
Apiales	Apiaceae	Aciphylla	pinnatifida	Petrie				dioecy							22	22			
Apiales	Apiaceae	Aciphylla	polita	(Kirk) Cheeseman											22	22			
Apiales	Apiaceae	Aciphylla	poppelwellii	Petrie															
Apiales	Apiaceae	Aciphylla	procumbens	(F.Muell.) Benth.				dioecy											
Apiales	Apiaceae	Aciphylla	scott-thomsonii	Cockayne & Allan				dioecy											
Apiales	Apiaceae	Aciphylla	similis	Cheeseman				dioecy							22	22			
Apiales	Apiaceae	Aciphylla	simplex	Petrie				dioecy							22	22			
Apiales	Apiaceae	Aciphylla	simplicifolia	(F.Muell.) Benth.				dioecy											
Apiales	Apiaceae	Aciphylla	spedenii	Cheeseman											22	22			
Apiales	Apiaceae	Aciphylla	squarrosa	J.R.Forst. & G.Forst.				dioecy											
Apiales	Apiaceae	Aciphylla	stannensis	J.W.Dawson															
Apiales	Apiaceae	Aciphylla	subflabellata	W.R.B.Oliv.				dioecy							22	22			
Apiales	Apiaceae	Aciphylla	takahea	W.R.B.Oliv.															
Apiales	Apiaceae	Aciphylla	traillii	Kirk				dioecy											
Apiales	Apiaceae	Aciphylla	traversii	(F.Muell.) Hook.f.				dioecy							22	22			
Apiales	Apiaceae	Aciphylla	trifoliolata	Petrie															
Apiales	Apiaceae	Aciphylla	verticillata	W.R.B.Oliv.															
Ericales	Actinidiaceae	Actinidia	acuminata	Budisch. ex Trautv.				dioecy											
Ericales	Actinidiaceae	Actinidia	arguta		var. arguta			dioecy					58	58	116	116			
Ericales	Actinidiaceae	Actinidia	arguta	(Siebold & Zucc.) Planch. ex Miq.				dioecy		shrub	0;0;2		c.29;29;58	29	c.232;174;116;40;116;116;110;116;116	40			
Ericales	Actinidiaceae	Actinidia	arisanensis	Hayata				dioecy											
Ericales	Actinidiaceae	Actinidia	asymmetrica	F.Chun				dioecy											
Ericales	Actinidiaceae	Actinidia	callosa		var. discolor			dioecy		shrub					116;58	58			
Ericales	Actinidiaceae	Actinidia	callosa	Maxim.	var. henryi			dioecy		shrub			29	29	116	116			
Ericales	Actinidiaceae	Actinidia	callosa		var. strigillosa			dioecy		shrub									
Ericales	Actinidiaceae	Actinidia	callosa	Lindl.				dioecy		shrub	0;0;2		29	29	116;116;58	58			
Ericales	Actinidiaceae	Actinidia	carnosifolia	C.Y.Wu				dioecy		shrub									
Ericales	Actinidiaceae	Actinidia	changii	P.S.Hsu				dioecy											
Ericales	Actinidiaceae	Actinidia	chengkouensis	C.Y.Chang				dioecy		shrub									
Ericales	Actinidiaceae	Actinidia	chinensis		var. rufopulpa			dioecy											
Ericales	Actinidiaceae	Actinidia	chinensis	Planch.				dioecy		shrub	0;0;3		29	29	ca. 174;116;58; 116;116;58;58;58;58; 116;80;58;116;58	58	homomorphic		male heterogametic
Ericales	Actinidiaceae	Actinidia	chrysantha	C.F.Liang				dioecy		shrub	0;0;1				116;116	116			
Ericales	Actinidiaceae	Actinidia	cylindrica		var. cylindrica			dioecy											
Ericales	Actinidiaceae	Actinidia	cylindrica	C.F.Liang	var. reticulata			dioecy											
Ericales	Actinidiaceae	Actinidia	cylindrica	C.F.Liang				dioecy		shrub	0;0;1				58	58			
Ericales	Actinidiaceae	Actinidia	deliciosa	(A.Chev.) C.F.Liang & A.R.Ferguson	var. chlorocarpa			dioecy							116;174	116			
Ericales	Actinidiaceae	Actinidia	deliciosa		var. deliciosa			dioecy							174	174			
Ericales	Actinidiaceae	Actinidia	deliciosa	(A.Chev.) C.F.Liang & A.R.Ferguson		(kiwifruit)		dioecy			0;0;5		87II;87;87	87	174;174;116;174;80;174;174;174	80			
Ericales	Actinidiaceae	Actinidia	eriantha	C.F.Gan	f. alba			dioecy											
Ericales	Actinidiaceae	Actinidia	eriantha	C.F.Liang	var. brunnea			dioecy											
Ericales	Actinidiaceae	Actinidia	eriantha	C.F.Liang	var. calvescens			dioecy											
Ericales	Actinidiaceae	Actinidia	eriantha		var. eriantha			dioecy											
Ericales	Actinidiaceae	Actinidia	eriantha	Benth.				dioecy		shrub	0;0;1		29	29	58;58;58;58	58			
Ericales	Actinidiaceae	Actinidia	fanjingshanensis	S.D.Shi & Q.B.Wang				dioecy											
Ericales	Actinidiaceae	Actinidia	farinosa	C.F.Liang				dioecy		shrub	0;0;1								
Ericales	Actinidiaceae	Actinidia	fasciculoides	C.F.Liang				dioecy		shrub									
Ericales	Actinidiaceae	Actinidia	fortunatii	Finet & Gagnep.				dioecy		shrub									
Ericales	Actinidiaceae	Actinidia	fulvicoma		var. fulvicoma			dioecy											
Ericales	Actinidiaceae	Actinidia	fulvicoma	Hance				dioecy		shrub	0;0;1				58;58	58			
