ncbi_taxon_id	species	family	target_list_status	sequencing_status	publication_id	taxonomic_group	project	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	data_generation	in_assembly	insdc_submitted	open	insdc_open	published
1132083	Oxalis novemfoliolata	Oxalidaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Peperomia coquimbensis	Piperaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Eragrostis pycnantha	Poaceae	long_list			Vascular plant	1000GCH	1000GCH											
264340	Elaphoglossum lindenii	Dryopteridaceae	long_list			Vascular plant	1000GCH	1000GCH											
54937	Embothrium coccineum	Proteaceae	long_list			Vascular plant	1000GCH	1000GCH											
41778	Boquila trifoliolata	Lardizabalaceae	long_list			Vascular plant	1000GCH	1000GCH											
304129	Physalis viscosa	Solanaceae	long_list			Vascular plant	1000GCH	1000GCH											
2528745	Fabiana denudata	Solanaceae	long_list			Vascular plant	1000GCH	1000GCH											
2919374	Nicotiana rupicola	Solanaceae	long_list			Vascular plant	1000GCH	1000GCH											
459184	Nolana lachimbensis	Solanaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Parietaria feliciana	Urticaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Viola johnstonii	Violaceae	long_list			Vascular plant	1000GCH	1000GCH											
228636	Krameria lappacea	Krameriaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Frullania reicheana	Frullaniaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Frullania weberbaueri	Frullaniaceae	long_list			Vascular plant	1000GCH	1000GCH											
304442	Greeneothallus gemmiparus	Pallaviciniaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Nothostrepta sp.	Adelanthaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Perdusenia rheophila	Lophocoleaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Pisanoa chilensis	Adelanthaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Siphonolejeunea talinayi	Lejeuneaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Adiantum pearcei	Adiantaceae	long_list			Vascular plant	1000GCH	1000GCH											
212994	Euphorbia thinophila	Euphorbiaceae	long_list			Vascular plant	1000GCH	1000GCH											
378718	Tristerix aphyllus	Loranthaceae	long_list			Vascular plant	1000GCH	1000GCH											
