Institute	ID Number	Project	Higher Group	Family	Genus	Species	Standard	Buffer	mean1	mean2	cv1	cv2	ratio	ave.sample	ave.standard	GS (2C)	GS (1C)	1C/Gbp	cv.sample	cv.standard	SD(R).sample	measured by	Date	DToL Specimen ID	Previous estimate (2C) (prime*)	Comments on DToL sample					
MSB	114530	UK Flora			Petrorhagia	nanteuilii	<Petro	GPB3%PVPBmet	208.93	294.03	3.85	2.7	1.407	203.75	284.56	3.22	1.61	1.58	4.21	2.70	0.009	Robyn Powell									
MSB	115777	UK Flora			Sabulina	rubella	<Petro	GPB3%PVPBmet	126.3	685.73	5.76	3.41	5.430	129.98	711.52	0.82	0.41	0.40	5.65	3.13	0.073	Robyn Powell									
MSB	115803	UK Flora			Sabulina	rubella	<Solanum	GPB3%PVPBmet	154.96	258.48	7.37	3.75	1.668	163.5933333	272.1966667	1.20	0.60	0.59	5.48	3.67	0.004	Robyn Powell									
MSB	115814	UK Flora			Sabulina	rubella	<Petro	GPB3%PVPBmet	198.05	388.9	3.16	2.52	1.964	201.5733333	398.6366667	2.28	1.14	1.11	2.83	2.29	0.012	Arezoo Dastpak									
MSB	115825	UK Flora			Sabulina	rubella	<Petro	GPB3%PVPBmet	198.16	391.1	2.85	3.15	3.956	198.61	394.37	2.27	1.13	1.11	2.61	2.83	0.042	Arezoo Dastpak									
MSB	115847	UK Flora			Rumex	aquaticus	>Solanum	GPB3%PVPBmet	143.17	831.16	3.95	3.95	5.805	833.2533333	144.4033333	11.54	5.77	5.64	3.94	3.94	0.035	Robyn Powell									
MSB	116431	UK Flora			Chaenorhinum	minus	<Petro	GPB3%PVPBmet	119.05	543.48	3.67	1.68	4.565	124.8566667	563.9733333	1.00	0.50	0.49	4.74	1.64	0.050	Robyn Powell									
MSB	116431	UK Flora			Chaenorhinum	minus	<Petro	GPB3%PVPBmet	96.58	439.95	6.69	2.84	4.452	121	534.72	1.02	0.51	0.50	5.47	2.21	0.051	Robyn Powell									
MSB	116774	UK Flora			Hieracium	mundum	>Petro		154.09	536.37	3.43	3.63	3.481	541.18	157.3766667	15.47	7.74	7.57	3.65	3.27	0.041	Robyn Powell									
MSB	116936	UK Flora			Hieracium	holosericeum	>Petro		123.81	324.16	3.91	3.87	2.618	312.3	120.92	11.62	5.81	5.68	4.03	3.65	0.040	Robyn Powell									
MSB	117162	UK Flora			Hieracium	perscitum	>Petro		131.61	457.41	3.52	2.79	3.476	466.3833333	134.7666667	15.57	7.79	7.62	2.49	3.12	0.015	Robyn Powell									
MSB	117302	UK Flora			Hieracium	graniticola	>Petro		132.8	343.29	3.03	2.95	2.585	349.6533333	136.34	11.54	5.77	5.64	2.67	2.82	0.021	Robyn Powell									
MSB	117324	UK Flora			Hieracium	graniticola	>Petro		142.56	364.35	3.88	3.47	2.556	370.1	145.7033333	11.43	5.72	5.59	3.20	3.76	0.026	Robyn Powell									
MSB	117335	UK Flora			Hieracium	graniticolum	>Petro		99.61	252.96	4.17	4.91	2.540	255.9033333	101.08	11.39	5.70	5.57	5.05	4.01	0.007	Robyn Powell									
MSB	117667	UK Flora			Hieracium	pensum	>Petro		148.12	505.09	2.47	2.21	3.410	505.77	148.8333333	15.29	7.65	7.48	2.16	2.47	0.013	Robyn Powell									
MSB	117678	UK Flora			Hieracium	pensum	>Petro		144.01	491.09	2.43	2.44	3.410	492.4966667	145.4833333	15.23	7.62	7.45	2.44	2.50	0.026	Robyn Powell									
MSB	117704	UK Flora			Hieracium	eximium	>Petro		149.72	507.2	2.76	2.23	3.388	518.28	154.9066667	15.06	7.53	7.36	2.12	2.30	0.042	Robyn Powell									
MSB	117726	UK Flora			Hieracium	tenuifrons	>Petro		117.62	401.41	3.9	3.6	3.413	404.99	119.3866667	15.27	7.63	7.46	3.92	4.20	0.030	Robyn Powell									
MSB	120326	UK Flora			Trifolium	repens	<Petro	GPB3%PVPBmet	140.36	457.33	2.63	1.98	3.258	142.92	464.55	1.38	0.69	0.68	2.71	1.86	0.007	Arezoo Dastpak									
MSB	120902	UK Flora			Geranium	sanguineum	>Petro	GPB3%PVPBmet	201.93	419.4	2.59	3.58	2.077	419.4	201.93	9.35	4.67	4.57	3.58	2.59	0.000	Robyn Powell									
MSB	120935	UK Flora			Euphorbia	amygdaloides	<Pisum	GPB3%PVPBmet	215.56	268.54	3.67	1.28	1.246	217.63	269.5933333	7.34	3.67	3.59	3.94	1.45	0.007	Robyn Powell									
MSB	121127	UK Flora			Carex	atrata	<Petro	GPB3%PVPBmet	134.75	627.38	4.93	2.74	4.656	133.0233333	621.0233333	0.96	0.48	0.47	4.79	3.16	0.019	Robyn Powell									
MSB	121611	UK Flora			Sagina	saginoides	<Petro	GPB3%PVPBmet	148.6	706.13	5.32	2.6	4.752	152.7233333	727.8433333	0.94	0.47	0.46	5.06	2.41	0.013	Robyn Powell									
MSB	129097	UK Flora			Lysimachia	thyrsiflora	>Solanum	GPB3%PVPBmet	178.95	258.83	4.79	3	1.446	262.78	180.9166667	2.90	1.45	1.42	2.82	5.23	0.013	Robyn Powell									
MSB	130279	UK Flora			Circaea	alpina	<Petro	GPB3%PVPBmet	174.85	539.34	5.11	3.16	3.648	159.5533333	543.81	1.32	0.66	0.65	5.01	3.07	0.033	Sahr Mian									
MSB	130394	UK Flora			Lysimachia	maritima	<Petro	Cystain	239.2	333.94	3.17	2.76	1.396	243.5066667	338.7633333	3.23	1.62	1.58	2.90	2.42	0.005	Arezoo Dastpak									
MSB	131380	UK Flora			Acer	campestre	<Petro	GPB3%PVPBmet	193.62	366.08	7.75	4.89	1.891	196.0066667	368.6033333	2.39	1.20	1.17	7.42	4.87	0.011	Robyn Powell									
MSB	131438	UK Flora			Scleranthus	annuus ssp. Annuus	<Pisum		164.79	356.55	3.13	1.88	2.164	168.7066667	361.0066667	4.25	2.12	2.08	2.99	1.87	0.023	Robyn Powell									
MSB	132088	UK Flora			Dianthus	armeria	<Petro	GPB3%PVPBmet	94.76	386.79	3.39	2.59	4.082	124.1266667	500.0633333	1.12	0.56	0.55	3.20	2.53	0.053	Robyn Powell									
MSB	135160	UK Flora			Tephroseris	integrifolia	>Petro	GPB3%PVPBmet	136.85	514.11	3.72	2.99	3.757	540.3666667	155.42	15.65	7.82	7.65	2.46	3.04	0.066	Robyn Powell									
MSB	135908	UK Flora			Carex	nigra	>Solanum	GPB3%PVPBmet	384.91	492.56	3.09	4.31	1.280	491.8366667	387.0566667	2.54	1.27	1.24	4.47	2.84	0.011	Sahr Mian									
MSB	136237	UK Flora			Hieracium	linguans	>Petro		167.45	446.62	2.57	2.04	2.667	453.32	171.5133333	11.89	5.95	5.82	1.80	2.24	0.023	Robyn Powell									
MSB	137887	UK Flora			Rubus	scissus	<Petro	GPB3%PVPBmet	142.61	434.33	5.69	3.47	3.046	141.7666667	430.73	1.48	0.74	0.72	4.65	3.20	0.014	Sahr Mian					Poor sample quality/ lower confidence genome size				
MSB	138806	UK Flora			Aria	porrigentiformis	<Petro	GPB3%PVPBmet	182.76	357.94	5.33	4.49	1.959	179.05	350.9033333	2.30	1.15	1.12	4.82	3.89	0.021	Sahr Mian									
MSB	142643	UK Flora			Geranium	molle	<Petro	GPB3%PVPBmet	128.06	564.72	4.3	2.23	4.410	130.74	574.4233333	1.02	0.51	0.50	3.79	1.94	0.017	Robyn Powell									
MSB	143802	UK Flora			Oenanthe	lachenalii	<Solanum	GPB3%PVPBmet	279.48	390.2	3.12	3.13	1.396	278.6866667	391.34	1.42	0.71	0.70	3.03	3.02	0.009	Sahr Mian									
MSB	144585	UK Flora			Stellaria	pallida	<Petro	GPB3%PVPBmet	135.53	548.2	4.64	2.65	3.986	141.0633333	555.7533333	1.14	0.57	0.56	4.59	2.67	0.072	Robyn Powell									
