taxid	resolved_species_name	Class	Order	Suborder	Family	female_haploid_K	ploidy	Chromosome_number	sex_determination_mechanism	diminution	sexual_system	Reference	Alternate_karyotypes
	Seinura steineri	CHROMADOREA	RHABDITIDA	TYLENCHINA	APHELENCHOIDIDAE	6	2	12			automixis	A.C Triantaphyllou (1983) Cytogenetic aspects of nematode evolution pp55-71 in Stone et al Concepts in nematode Systematics Hechler & Taylor 1966	
57562	Belonolaimus longicaudatus	CHROMADOREA	RHABDITIDA	TYLENCHINA	BELONOLAIMIDAE	8	2	16				http://nemaplex.ucdavis.edu/Taxadata/G022s1.aspx	
70226	Aphelenchus avenae	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	8	2	16				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2620164/pdf/168.pdf	9
	Cactodera weissi	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	9	2	18			amphimixis	Triantaphyllou J Nem 2 26-32	
182293	Globodera mexicana	CHROMADOREA	RHABDITIDA	TYLENCHINA	HETERODERIDAE	9	2	18			amphimixis	Triantaphyllou J Nem 2 26-32	
36090	Globodera pallida	CHROMADOREA	RHABDITIDA	TYLENCHINA	HETERODERIDAE	9	2	18				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4054857/	
31243	Globodera rostochiensis	CHROMADOREA	RHABDITIDA	TYLENCHINA	HETERODERIDAE	9	2	18			amphimixis	Triantaphyllou J Nem 2 26-32	
34510	Heterodera avenae	CHROMADOREA	RHABDITIDA	TYLENCHINA	HETERODERIDAE	9	2	18			amphimixis	Triantaphyllou J Nem 2 26-32	
157847	Heterodera carotae	CHROMADOREA	RHABDITIDA	TYLENCHINA	HETERODERIDAE	9	2	18			amphimixis	Triantaphyllou J Nem 2 26-32	
157849	Heterodera cruciferae	CHROMADOREA	RHABDITIDA	TYLENCHINA	HETERODERIDAE	9	2	18			amphimixis	Triantaphyllou J Nem 2 26-32	
51029	Heterodera glycines	CHROMADOREA	RHABDITIDA	TYLENCHINA	HETERODERIDAE	9	2	18			amphimixis	https://jcs.biologists.org/content/joces/43/1/225.full.pdf	14, 18
57557	Heterodera goettingiana	CHROMADOREA	RHABDITIDA	TYLENCHINA	HETERODERIDAE	9	2	18			amphimixis	Triantaphyllou J Nem 2 26-32	
2759895	Heterodera oryzae	CHROMADOREA	RHABDITIDA	TYLENCHINA	HETERODERIDAE	9	2	18			amphimixis	Triantaphyllou J Nem 2 26-32	
97005	Heterodera schachtii	CHROMADOREA	RHABDITIDA	TYLENCHINA	HETERODERIDAE	9	2	18			amphimixis	Triantaphyllou J Nem 2 26-32	
2055750	Meloidodera floridensis	CHROMADOREA	RHABDITIDA	TYLENCHINA	HETERODERIDAE	26	3	78			apomixis	Triantaphyllou AC. Oogenesis and the Chromosomes of the Cystoid Nematode, Meloidodera floridensis. J Nematol. 1971;3: 183–188. Available: https://www.ncbi.nlm.nih.gov/pubmed/19322366	27
