"Infra Class","Order","Family","Common name","Species","Synonym*","2n","Estimated_haploid_2n/2","Reference"
"NEOGNATHAE","CHARADRIIFORMES","Scolopacidae","","Tringa ochropus","","88","44","Xiaozhuang et al. 1993"
"NEOGNATHAE","CHARADRIIFORMES","Scolopacidae","","Tringa stagnatilis","","88","44","Xiaozhuang et al. 1993"
"NEOGNATHAE","CHARADRIIFORMES","Scolopacidae","","Tringa totanus","","88","44","Hammar 1970; Xiaozhuang et al. 1993"
"NEOGNATHAE","CHARADRIIFORMES","Stercorariidae","Skuas","Stercorarius antarcticus","","84","42","Ledesma et al. 2004b"
"NEOGNATHAE","CHARADRIIFORMES","Stercorariidae","","Stercorarius chilensis","","90","45","Gunski et al. 2004c"
"NEOGNATHAE","CHARADRIIFORMES","Stercorariidae","","Stercorarius maccormicki","","68","34","Ledesma et al. 2004b"
"NEOGNATHAE","CHARADRIIFORMES","Turnicidae","","Turnix tanki","","88","44","Les Christidis 1990"
"NEOGNATHAE","PTEROCLIFORMES","Pteroclidae","Sandgrouse","Pterocles exustus","","80","40","Les Christidis 1990"
"NEOGNATHAE","OPISTHOCOMIFORMES","Opisthocomidae","Hoatzin","Opisthocomus hoazin","","80","40","dos Santos et al. 2018"
"NEOGNATHAE","COLUMBIFORMES","Columbidae","Pigeons, Doves","Caloenas nicobarica","","80","40","Belterman and De Boer 1984"
"NEOGNATHAE","COLUMBIFORMES","Columbidae","","Claravis pretiosa","","74","37","De Lucca and Aguiar 1978"
"NEOGNATHAE","COLUMBIFORMES","Columbidae","","Columba janthina","","80","40","Makino et al. 1956"
"NEOGNATHAE","COLUMBIFORMES","Columbidae","","Columba livia","","80","40","Be�ak et al. 1971; Takagi and Sasaki 1974; Kretschmer et al. 2018b; Kretschmer et al. 2020c"
"NEOGNATHAE","COLUMBIFORMES","Columbidae","","Columba palumbus","","78","39","Hammar 1966"
"NEOGNATHAE","COLUMBIFORMES","Columbidae","","Columbina minuta","","76","38","De Lucca and Aguiar 1978"
"NEOGNATHAE","COLUMBIFORMES","Columbidae","","Columbina passerina","","76","38","De Lucca and Aguiar 1978; Kretschmer et al. 2018b; Kretschmer et al. 2020c"
"NEOGNATHAE","COLUMBIFORMES","Columbidae","","Columbina picui","","76","38","De Lucca and Aguiar 1976; Kretschmer et al. 2018b; Kretschmer et al. 2020c"
"NEOGNATHAE","COLUMBIFORMES","Columbidae","","Columbina squammata","","76","38","De Lucca 1984b"
"NEOGNATHAE","COLUMBIFORMES","Columbidae","","Columbina talpacoti","","76","38","De Lucca and Aguiar 1976; Kretschmer et al. 2018b; Kretschmer et al. 2020c"
"NEOGNATHAE","COLUMBIFORMES","Columbidae","","Geopelia cuneata","","72","36","Abu-Almaaty 2017"
"NEOGNATHAE","COLUMBIFORMES","Columbidae","","Geotrygon montana","","86","43","De Lucca and Aguiar 1976; Kretschmer et al. 2018b; Kretschmer et al. 2020c"
"NEOGNATHAE","COLUMBIFORMES","Columbidae","","Goura cristata","","76","38","Belterman and De Boer 1984"
"NEOGNATHAE","COLUMBIFORMES","Columbidae","","Goura scheepmakeri","","80","40","Belterman and De Boer 1984"
"NEOGNATHAE","COLUMBIFORMES","Columbidae","","Goura victoria","","72","36","De Boer and Belterman 1980c"
"NEOGNATHAE","COLUMBIFORMES","Columbidae","","Leptotila rufaxilla","","76","38","de Lucca and Aguiar 1976"
"NEOGNATHAE","COLUMBIFORMES","Columbidae","","Leptotila verreauxi","","78","39","De Lucca and Aguiar 1976; Kretschmer et al. 2018b; Kretschmer et al. 2020c"
"NEOGNATHAE","COLUMBIFORMES","Columbidae","","Patagioenas cayennensis","Columba cayennensis","76","38","De Lucca and Aguiar 1976; Kretschmer et al. 2018b; Kretschmer et al. 2020c"
"NEOGNATHAE","COLUMBIFORMES","Columbidae","","Patagioenas picazuro","Columba picazuro","76","38","de Lucca and Aguiar 1976"
"NEOGNATHAE","COLUMBIFORMES","Columbidae","","Patagioenas speciosa","Columba speciosa","76","38","de Lucca and Aguiar 1976"
"NEOGNATHAE","COLUMBIFORMES","Columbidae","","Spilopelia chinensis","Streptopelia chinensis","76","38","Ashraful 2012"
"NEOGNATHAE","COLUMBIFORMES","Columbidae","","Streptopelia decaocto","","76","38","Udagawa 1953; Les Christidis 1990; Kretschmer et al. 2020c"
"NEOGNATHAE","COLUMBIFORMES","Columbidae","","Streptopelia orientalis","","80","40","Ray-chaudhuri et al 1969; Bian et al. 1991"
"NEOGNATHAE","COLUMBIFORMES","Columbidae","","Streptopelia roseogrisea","","78","39","Guttenbach et al. 2003"
"NEOGNATHAE","COLUMBIFORMES","Columbidae","","Treron phoenicopterus","","74","37","Les Christidis 1990"
"NEOGNATHAE","COLUMBIFORMES","Columbidae","","Treron sieboldii","","78","39","Makino et al. 1956"
"NEOGNATHAE","COLUMBIFORMES","Columbidae","","Turtur chalcospilos","","70","35","Capanna and Merani 1980"
"NEOGNATHAE","COLUMBIFORMES","Columbidae","","Uropelia campestris","","68","34","De Lucca 1983b"
"NEOGNATHAE","COLUMBIFORMES","Columbidae","","Zenaida asiatica","","76","38","Smalls et al. 1993"
"NEOGNATHAE","COLUMBIFORMES","Columbidae","","Zenaida auriculata","","76","38","De Lucca and Aguiar 1976; Kretschmer et al. 2018b; Kretschmer et al. 2020c"
"NEOGNATHAE","COLUMBIFORMES","Columbidae","","Zenaida macroura","","76","38","Be�ak et al. 1971"
"NEOGNATHAE","MUSOPHAGIFORMES","Musophagidae","Turacos","Corythaixoides concolor","","136-142","#VALUE!","Les Christidis 1990"
"NEOGNATHAE","MUSOPHAGIFORMES","Musophagidae","","Musophaga violacea","","82","41","Belterman and De Boer 1984"
"NEOGNATHAE","CUCULIFORMES","Cuculidae","Cuckoos","Cacomantis merulinus","Cuculus merulinus","78","39","Bian et al. 1991"
"NEOGNATHAE","CUCULIFORMES","Cuculidae","","Chrysococcyx caprius","","80","40","Les Christidis 1990"
"NEOGNATHAE","CUCULIFORMES","Cuculidae","","Crotophaga ani","","70","35","Waldrigues and Ferrari 1982; de Oliveira et al. 2007"
"NEOGNATHAE","CUCULIFORMES","Cuculidae","","Crotophaga major","","64","32","Waldrigues et al. 1983"
"NEOGNATHAE","CUCULIFORMES","Cuculidae","","Cuculus canorus","","78","39","Xiaozhuang and Qingwei 1989"
"NEOGNATHAE","CUCULIFORMES","Cuculidae","","Cuculus micropterus","","78","39","Les Christidis 1990"
"NEOGNATHAE","CUCULIFORMES","Cuculidae","","Cuculus saturatus","","76","38","Xiaozhuang and Qingwei 1989"
"NEOGNATHAE","CUCULIFORMES","Cuculidae","","Eudynamys scolopaceus","Eudynamys scolopacea","78","39","Ray-Chaudhuri 1967"
"NEOGNATHAE","CUCULIFORMES","Cuculidae","","Guira guira","","76","38","De Lucca 1974a; dos Santos et al. 2020"
"NEOGNATHAE","CUCULIFORMES","Cuculidae","","Piaya cayana","","90","45","Waldrigues et al. 1983; dos Santos et al. 2020"
"NEOGNATHAE","CUCULIFORMES","Cuculidae","","Surniculus lugubris","","78","39","Mohanty and Bhunya 1990b"
"NEOGNATHAE","STRIGIFORMES","Strigidae","Owls","Asio flammeus","","82","41","Sasaki et al. 1981"
"NEOGNATHAE","STRIGIFORMES","Strigidae","","Asio otus","","82","41","Rebholz et al. 1993; Chen et al. 2002"
"NEOGNATHAE","STRIGIFORMES","Strigidae","","Athene brama","","82","41","Ray-Chaudhuri et al. 1969; Misra and Srivastava 1974; Schmutz and Moker 1991"
"NEOGNATHAE","STRIGIFORMES","Strigidae","","Athene cunicularia","Speotyto cunicularia","86","43","Rebholz et al. 1993"
"NEOGNATHAE","STRIGIFORMES","Strigidae","","Athene noctua","","80","40","Xiaozhuang and Qingwei 1989"
"NEOGNATHAE","STRIGIFORMES","Strigidae","","Bubo africanus","","76","38","Belterman and De Boer 1984"
"NEOGNATHAE","STRIGIFORMES","Strigidae","","Bubo blakistoni","Ketupa blakistoni","82","41","Sasaki et al. 1981; Rebholz et al. 1993"
"NEOGNATHAE","STRIGIFORMES","Strigidae","","Bubo bubo","","80","40","Guttenbach et al. 2003"
"NEOGNATHAE","STRIGIFORMES","Strigidae","","Bubo lacteus","","80-84","#VALUE!","Rebholz et al. 1993"
"NEOGNATHAE","STRIGIFORMES","Strigidae","","Bubo scandiacus","","84","42","Sasaki et al. 1981; Belterman and De Boer 1984"
"NEOGNATHAE","STRIGIFORMES","Strigidae","","Bubo virginianus","","82","41","Be�ak et al. 1973; Biederman et al. 1980"
"NEOGNATHAE","STRIGIFORMES","Strigidae","","Glaucidium radiatum","","82","41","Misra and Srivastava 1974; Roy et al. 1987"
"NEOGNATHAE","STRIGIFORMES","Strigidae","","Ketupa ketupu","Ketupa ketupa","82","41","Sasaki et al. 1981; Rebholz et al. 1993"
"NEOGNATHAE","STRIGIFORMES","Strigidae","","Ketupa zeylonensis","","80","40","Belterman and De Boer 1984; Les Christidis 1990"
"NEOGNATHAE","STRIGIFORMES","Strigidae","","Megascops kennicottii","Otus kennicottii","70","35","Schmutz and Moker 1991"
"NEOGNATHAE","STRIGIFORMES","Strigidae","","Ninox novaeseelandiae","","80","40","Belterman and De Boer 1984"
"NEOGNATHAE","STRIGIFORMES","Strigidae","","Ninox scutulata","","82","41","Roy et al. 1987"
"NEOGNATHAE","STRIGIFORMES","Strigidae","","Otus bakkamoena","","82","41","Xiaozhuang and Qingwei 1989; Roy et al. 1987"
