taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2300599	Epitonium nitidella (Dall, 1889)	2300599	Epitonium nitidella (Dall, 1889)	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225			Epitoniidae	2673	Epitonium	9209999	Epitonium nitidella	2300599	NE
2304612	Bellaspira pentagonalis (Dall, 1889)	2304612	Bellaspira pentagonalis (Dall, 1889)	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Neogastropoda	982	Drilliidae	6777	Bellaspira	2304610	Bellaspira pentagonalis	2304612	NE
8454010	Bellaspira pentapleura Schwengel, 1940	2304612	Bellaspira pentagonalis (Dall, 1889)	1	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225	Neogastropoda	982	Drilliidae	6777	Bellaspira	2304610	Bellaspira pentagonalis	2304612	NE
2328166	Hyalopomatus marenzelleri Langerhans, 1884	2328166	Hyalopomatus marenzelleri Langerhans, 1884	1	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Polychaeta	256	Sabellida	1080	Serpulidae	7086	Hyalopomatus	2328164	Hyalopomatus marenzelleri	2328166	NE
4339368	Coenocyathus parvulus (Cairns, 1979)	4339368	Coenocyathus parvulus (Cairns, 1979)	1	SPECIES	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Caryophylliidae	11260974	Coenocyathus	2259033	Coenocyathus parvulus	4339368	NE
5192524	Opalia pumilio (Mörch, 1875)	5192524	Opalia pumilio (Mörch, 1875)	6	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225			Epitoniidae	2673	Opalia	12026408	Opalia pumilio	5192524	NE
7937581	Pachastrella pacoi Van Soest, Meesters & Becking, 2014	7937581	Pachastrella pacoi Van Soest, Meesters & Becking, 2014	2	SPECIES	ACCEPTED	Animalia	1	Porifera	105	Demospongiae	199	Tetractinellida	7544483	Pachastrellidae	8117	Pachastrella	2248373	Pachastrella pacoi	7937581	NE
1420792	Leucothrips piercei (Morgan, 1913)	1420792	Leucothrips piercei (Morgan, 1913)	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Thysanoptera	1228	Thripidae	4387	Leucothrips	1420790	Leucothrips piercei	1420792	NE
2226609	Podochela hemphillii (Lockington, 1877)	5971083	Ericerodes hemphillii (Lockington, 1877)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Malacostraca	229	Decapoda	637	Inachidae	8046	Ericerodes	3254268	Ericerodes hemphillii	5971083	NE
6464625	Stephonyx carinatus Bellan-Santini, 1997	6464625	Stephonyx carinatus Bellan-Santini, 1997	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Amphipoda	1231	Uristidae	4467	Stephonyx	2219716	Stephonyx carinatus	6464625	NE
