"taxonID","parentNameUsageID","acceptedNameUsageID","datasetID","scientificName","scientificNameAuthorship","taxonRank","taxonConceptID","taxonomicStatus","nomenclaturalStatus","genus","family","order","class","phylum","kingdom","long_list"
"NHMSYS0020752424","NBNSYS0000176181","","UKSI","Lissodendoryx (Lissodendoryx) lundbecki","Topsent, 1913","Species","NBNORG0000103978","accepted","","Lissodendoryx","Coelosphaeridae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752425","NBNSYS0000176181","","UKSI","Lissodendoryx (Lissodendoryx) stipitata","(Arnesen, 1903)","Species","NBNORG0000103979","accepted","","Lissodendoryx","Coelosphaeridae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752426","NBNSYS0000176181","","UKSI","Lissodendoryx (Ectyodoryx) atlantica","Stephens, 1921","Species","NBNORG0000103980","accepted","","Lissodendoryx","Coelosphaeridae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752430","NHMSYS0021057338","","UKSI","Mycale (Carmia) micracanthoxea","Buizer & van Soest, 1977","Species","NBNORG0000103984","accepted","","Mycale","Mycalidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752432","NHMSYS0021057338","","UKSI","Mycale (Mycale) massa","(Schmidt, 1862)","Species","NBNORG0000103986","accepted","","Mycale","Mycalidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752433","NHMSYS0021057338","","UKSI","Mycale (Rhaphidotheca) marshallhalli","(Kent, 1870)","Species","NBNORG0000103987","accepted","","Mycale","Mycalidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752435","NHMSYS0021057338","","UKSI","Mycale (Mycale) lingua","(Bowerbank, 1866)","Species","NBNORG0000103989","accepted","","Mycale","Mycalidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752437","NBNSYS0000176607","","UKSI","Myxilla (Myxilla) incrustans","(Johnston, 1842)","Species","NBNORG0000103991","accepted","","Myxilla","Myxillidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752461","NBNSYS0000177641","","UKSI","Raspailia (Parasyringella) agnata","(Topsent, 1896)","Species","NBNORG0000104014","accepted","","Raspailia","Raspailiidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752462","NBNSYS0000177641","","UKSI","Raspailia (Raspailia) radiosa","(Bowerbank, 1866)","Species","NBNORG0000104015","accepted","","Raspailia","Raspailiidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752464","NBNSYS0000177641","","UKSI","Raspailia (Raspailia) ventilabrum","(Bowerbank, 1866)","Species","NBNORG0000104017","accepted","","Raspailia","Raspailiidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752465","NBNSYS0000177641","","UKSI","Raspailia (Raspailia) viminalis","Schmidt, 1862","Species","NBNORG0000104018","accepted","","Raspailia","Raspailiidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752466","NBNSYS0000177641","","UKSI","Raspailia (Raspailia) virgultosa","(Bowerbank, 1866)","Species","NBNORG0000104019","accepted","","Raspailia","Raspailiidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752482","NHMSYS0021057402","","UKSI","Tedania (Tedania) suctoria","(Schmidt, 1870)","Species","NBNORG0000104034","accepted","","Tedania","Tedaniidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752492","NHMSYS0020706611","","UKSI","Vulcanella (Annulastrella) annulata","(Carter, 1880)","Species","NBNORG0000104044","accepted","","Vulcanella","Vulcanellidae","Astrophorida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752518","NHMSYS0020706672","","UKSI","Microsomacanthus ? trifolium","(von Linstow, 1905)","Species","NBNORG0000104070","accepted","","Microsomacanthus","Hymenolepididae","Cyclophyllidea","Cestoda","Platyhelminthes","Animalia","DTOL"
"NHMSYS0020752530","NHMSYS0020930352","","UKSI","Passerilepis ? parina","(Fuhrmann, 1907)","Species","NBNORG0000104082","accepted","","Passerilepis","Hymenolepididae","Cyclophyllidea","Cestoda","Platyhelminthes","Animalia","DTOL"
"NHMSYS0020752558","NBNSYS0000173894","","UKSI","Aplidium sp.","","Species","NBNORG0000104110","accepted","","Aplidium","Polyclinidae","Aplousobranchia","Ascidiacea","Chordata","Animalia","DTOL"
"NHMSYS0020770711","NHMSYS0000868331","","UKSI","Bourletiella (Cassagnaudiella) pruinosa","(Tullberg, 1871)","Species","NBNORG0000104278","accepted","","Bourletiella","Bourletiellidae","Symphypleona","Collembola","Arthropoda","Animalia","DTOL"
"NHMSYS0020774289","NHMSYS0000376781","","UKSI","Hystrix (Acanthion) brachyura","Linnaeus, 1758","Species","NBNORG0000104325","accepted","","Hystrix","Hystricidae","Rodentia","Mammalia","Chordata","Animalia","DTOL"
"NHMSYS0020774292","NHMSYS0000376896","","UKSI","Meriones (Pallasiomys) unguiculatus","(Milne-Edwards, 1867)","Species","NBNORG0000104328","accepted","","Meriones","Muridae","Rodentia","Mammalia","Chordata","Animalia","DTOL"
"NHMSYS0020784751","NHMSYS0020824874","","UKSI","Diphascon (Diphascon) bullatum","Murray, 1905","Species","NBNORG0000104377","accepted","","Diphascon","Hypsibiidae","Parachela","Eutardigrada","Tardigrada","Animalia","DTOL"
"NHMSYS0020784757","NHMSYS0020824874","","UKSI","Diphascon (Diphascon) chilenense","(Plate, 1888)","Species","NBNORG0000104378","accepted","","Diphascon","Hypsibiidae","Parachela","Eutardigrada","Tardigrada","Animalia","DTOL"
"NHMSYS0020784787","NHMSYS0020824874","","UKSI","Diphascon (Adropion) scoticus","Murray, 1905","Species","NBNORG0000104383","accepted","","Diphascon","Hypsibiidae","Parachela","Eutardigrada","Tardigrada","Animalia","DTOL"
