	Species_name	Subspecies	Common Name	Family	Phase	sample_collected	sample_acquired	in_progress	insdc_submitted	sequencing_status	long_list	other_priority	family_representative
4247	Gymnocrex plumbeiventris		Bare-eyed Rail	Rallidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
4249	Gymnocrex talaudensis		Talaud Rail	Rallidae		nan	nan	nan	nan	nan	B10K		
4257	Gymnophaps mada		Long-tailed Mountain Pigeon	Columbidae		nan	nan	nan	nan	nan	B10K		
4258	Gymnophaps solomonensis		Pale Mountain Pigeon	Columbidae		nan	nan	nan	nan	nan	B10K		
4262	Gymnopithys rufigula	rufigula	Rufous-throated Antbird	Thamnophilidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
4268	Gymnoris pyrgita		Yellow-spotted Bush Sparrow	Passeridae		nan	nan	nan	nan	nan	B10K		
4282	Habia carmioli		Carmiol's Tanager	Cardinalidae		nan	nan	nan	nan	nan	B10K		
4283	Habia cristata		Crested Ant Tanager	Cardinalidae		nan	nan	nan	nan	nan	B10K		
4286	Habia olivacea		Lemon-spectacled Tanager	Cardinalidae		nan	nan	nan	nan	nan	B10K		
4288	Habia stolzmanni		Ochre-breasted Tanager	Cardinalidae		nan	nan	nan	nan	nan	B10K		
4293	Haematopus chathamensis		Chatham Oystercatcher	Haematopodidae		nan	nan	nan	nan	nan	B10K		
4297	Haematopus longirostris		Pied Oystercatcher	Haematopodidae		nan	nan	nan	nan	nan	B10K		
4323	Halcyon smyrnensis	gularis	White-throated Kingfisher	Alcedinidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
4347	Haplospiza bairdi		Peg-billed Finch	Thraupidae		nan	nan	nan	nan	nan	B10K		
4367	Hedydipna metallica		Nile Valley Sunbird	Nectariniidae		nan	nan	nan	nan	nan	B10K		
4368	Hedydipna pallidigaster		Amani Sunbird	Nectariniidae		nan	nan	nan	nan	nan	B10K		
4394	Heliomaster longirostris	albicrissa	Long-billed Starthroat	Trochilidae	Phase Genus	B10K	nan	nan	nan	sample_collected	B10K	B10K	
4405	Hemignathus affinis		Maui Nukupuu	Fringillidae		nan	nan	nan	nan	nan	B10K		
4406	Hemignathus hanapepe		Kauai Nukupuu	Fringillidae		nan	nan	nan	nan	nan	B10K		
4407	Hemignathus lucidus		Oahu Nukupuu	Fringillidae		nan	nan	nan	nan	nan	B10K		
4409	Hemimacronyx chloris		Yellow-breasted Pipit	Motacillidae		nan	nan	nan	nan	nan	B10K		
4413	Hemiprocne coronata		Crested Treeswift	Apodidae		nan	nan	nan	nan	nan	B10K		
4425	Hemitesia pallidipes		Pale-footed Bush Warbler	Scotocercidae		nan	nan	nan	nan	nan	B10K		
4442	Hemitriccus minor	minor	Snethlage's Tody Tyrant	Pipromorphidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
4451	Hemixos flavala	castanonotus	Ashy Bulbul	Pycnonotidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
4455	Henicophaps foersteri		New Britain Bronzewing	Columbidae		nan	nan	nan	nan	nan	B10K		
4480	Hesperiphona abeillei		Hooded Grosbeak	Fringillidae		nan	nan	nan	nan	nan	B10K		
4500	Heteroscenes pallidus		Pallid Cuckoo	Cuculidae		nan	nan	nan	nan	nan	B10K		
4503	Heterotetrax humilis		Little Brown Bustard	Otididae		nan	nan	nan	nan	nan	B10K		
4504	Heterotetrax rueppelii		Rüppell's Bustard	Otididae		nan	nan	nan	nan	nan	B10K		
4505	Heterotetrax vigorsii		Vigors's Bustard	Otididae		nan	nan	nan	nan	nan	B10K		
4507	Hierococcyx fugax		Hodgson's Hawk Cuckoo	Cuculidae		nan	nan	nan	nan	nan	B10K		
4510	Hierococcyx pectoralis		Philippine Hawk Cuckoo	Cuculidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
4512	Hierococcyx vagans		Moustached Hawk Cuckoo	Cuculidae		nan	nan	nan	nan	nan	B10K		
4529	Hirundapus celebensis		Purple Needletail	Apodidae		nan	nan	nan	nan	nan	B10K		
4530	Hirundapus cochinchinensis		Silver-backed Needletail	Apodidae		nan	nan	nan	nan	nan	B10K		
4531	Hirundapus giganteus		Brown-backed Needletail	Apodidae		nan	nan	nan	nan	nan	B10K		
4548	Hirundo tahitica	abbotti	Pacific Swallow	Hirundinidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
4559	Horornis haddeni		Bougainville Bush Warbler	Scotocercidae		nan	nan	nan	nan	nan	B10K		
4571	Hydrobates macrodactylus		Guadalupe Storm-petrel	Hydrobatidae		nan	nan	nan	nan	nan	B10K		
4596	Hyliota violacea		Violet-backed Hyliota	Hyliotidae		nan	nan	nan	nan	nan	B10K		
4613	Hylopezus macularius	macularius	Spotted Antpitta	Grallariidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
4616	Hylopezus paraensis		Snethlage's Antpitta	Grallariidae		nan	nan	nan	nan	nan	B10K		
4639	Hylorchilus navai		Nava's Wren	Troglodytidae		nan	nan	nan	nan	nan	B10K		
4647	Hypnelus ruficollis		Russet-throated Puffbird	Bucconidae		nan	nan	nan	nan	nan	B10K		
4665	Hypotaenidia dieffenbachii		Dieffenbach's Rail	Rallidae		nan	nan	nan	nan	nan	B10K		
4666	Hypotaenidia insignis		New Britain Rail	Rallidae		nan	nan	nan	nan	nan	B10K		
4669	Hypotaenidia pacifica		Tahitian Rail	Rallidae		nan	nan	nan	nan	nan	B10K		
4672	Hypotaenidia rovianae		Roviana Rail	Rallidae		B10K	nan	nan	nan	sample_collected	B10K		
4673	Hypotaenidia sylvestris		Lord Howe Woodhen	Rallidae		B10K	nan	nan	nan	sample_collected	B10K		
4722	Icterus melanopsis		Cuban Oriole	Icteridae		nan	nan	nan	nan	nan	B10K		
4729	Icterus portoricensis		Puerto Rican Oriole	Icteridae		nan	nan	nan	nan	nan	B10K		
