	Species_name	Subspecies	Common_Name	Family	Phase	sample_collected	sample_acquired	in_progress	insdc_submitted	sequencing_status	long_list	other_priority	family_representative
7291	Phylloscartes oustaleti		Oustalet's Tyrannulet	Pipromorphidae							B10K		
7292	Phylloscartes parkeri		Cinnamon-faced Tyrannulet	Pipromorphidae							B10K		
7293	Phylloscartes paulista		São Paulo Tyrannulet	Pipromorphidae							B10K		
7294	Phylloscartes roquettei		Minas Gerais Tyrannulet	Pipromorphidae							B10K		
7295	Phylloscartes superciliaris		Rufous-browed Tyrannulet	Pipromorphidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
7296	Phylloscartes sylviolus		Bay-ringed Tyrannulet	Pipromorphidae							B10K		
7297	Phylloscartes ventralis		Mottle-cheeked Tyrannulet	Pipromorphidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
7298	Phylloscartes virescens		Olive-green Tyrannulet	Pipromorphidae							B10K		
7307	Phylloscopus lorenzii		Mountain Chiffchaff	Phylloscopidae							B10K		
7326	Picathartes gymnocephalus		White-necked Rockfowl	Eupetidae	Phase Family	B10K	B10K	B10K	B10K	insdc_submitted	B10K		B10K
7327	Picathartes oreas		Grey-necked Rockfowl	Eupetidae							B10K		
7328	Picoides albolarvatus	albolarvatus	White-headed Woodpecker	Picidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
7344	Piculus flavigula	magnus	Yellow-throated Woodpecker	Picidae	Phase Genus						B10K	B10K	
7347	Piculus simplex		Rufous-winged Woodpecker	Picidae							B10K		
7349	Picumnus aurifrons	transfasciatus	Bar-breasted Piculet	Picidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
7351	Picumnus cinnamomeus		Chestnut Piculet	Picidae							B10K		
7352	Picumnus cirratus	confusus	White-barred Piculet	Picidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
7355	Picumnus fulvescens		Tawny Piculet	Picidae							B10K		
