nOrder	ARK	Superorder	Family	Accession	VGP_accession	Class	SpeciesE	Genus	Species	long_list
Anura		Batrachia	Bufonidae		aAteCar	Amphibia	-	Atelopus	carbonerensis	VGP
Anura		Batrachia	Ceratobatrachidae		aPlaMan	Amphibia	-	Platymantis	manus	VGP
Anura		Batrachia	Hylidae		aDenLim	Amphibia	-	Dendropsophus	limai	VGP
Anura		Batrachia	Hylidae		aPleCal	Amphibia	-	Plectrohyla	calvicollina	VGP
Anura		Batrachia	Microhylidae		aXenSim	Amphibia	-	Xenorhina	similis	VGP
Anura		Batrachia	Ptychadenidae		aPtyTou	Amphibia	-	Ptychadena	tournieri	VGP
Anura		Batrachia	Strabomantidae		aHypMan	Amphibia	-	Hypodactylus	mantipus	VGP
Anura		Batrachia	Strabomantidae		aPriGua	Amphibia	-	Pristimantis	guaiquinimensis	VGP
Anura		Batrachia	Strabomantidae		aPriSpe	Amphibia	-	Pristimantis	spectabilis	VGP
Anura		Batrachia	Bufonidae		aAteCar	Amphibia	-	Atelopus	carrikeri	VGP
Anura		Batrachia	Bufonidae		aMelTum	Amphibia	-	Melanophryniscus	tumifrons	VGP
Anura		Batrachia	Ceratobatrachidae		aPlaMim	Amphibia	-	Platymantis	mimicus	VGP
Anura		Batrachia	Dendrobatidae		aAnoAya	Amphibia	-	Anomaloglossus	ayarzaguenai	VGP
Anura		Batrachia	Eleutherodactylidae		aEleCat	Amphibia	-	Eleutherodactylus	cattus	VGP
Anura		Batrachia	Hylidae		aPleCel	Amphibia	-	Plectrohyla	celata	VGP
Anura		Batrachia	Hyperoliidae		aHypWat	Amphibia	-	Hyperolius	watsonae	VGP
Anura		Batrachia	Megophryidae		aLepNah	Amphibia	-	Leptobrachella	nahangensis	VGP
Anura		Batrachia	Microhylidae		aCalSag	Amphibia	-	Callulops	sagittatus	VGP
Anura		Batrachia	Microhylidae		aXenSub	Amphibia	-	Xenorhina	subcrocea	VGP
Anura		Batrachia	Strabomantidae		aPriGua	Amphibia	-	Pristimantis	gualacenio	VGP
Caudata		Batrachia	Salamandridae		aCynWol	Amphibia	Kunming Lake Newt, Yunnan Lake Newt	Cynops	wolterstorffi	VGP
Anura		Batrachia	Dendrobatidae		aHylUtc	Amphibia	-	Hyloxalus	utcubambensis	VGP
Anura		Batrachia	Hemiphractidae		aGasSpe	Amphibia	-	Gastrotheca	spectabilis	VGP
Anura		Batrachia	Hylidae		aPleCem	Amphibia	-	Plectrohyla	cembra	VGP
Anura		Batrachia	Hyperoliidae		aHypWer	Amphibia	-	Hyperolius	wermuthi	VGP
Anura		Batrachia	Megophryidae		aLepNat	Amphibia	-	Leptobrachella	natunae	VGP
Anura		Batrachia	Microhylidae		aCalSti	Amphibia	-	Callulops	stictogaster	VGP
Anura		Batrachia	Microhylidae		aXenTil	Amphibia	Tillack's Snouted Frog; Tillacks Spitznasenfrosch	Xenorhina	tillacki	VGP
Anura		Batrachia	Ptychadenidae		aPtyUpe	Amphibia	Upemba ridged frog	Ptychadena	upembae	VGP
Anura		Batrachia	Arthroleptidae		aLepChr	Amphibia	-	Leptopelis	christyi	VGP
Anura		Batrachia	Bufonidae		aTruSko	Amphibia	-	Truebella	skoptes	VGP
Anura		Batrachia	Hemiphractidae		aGasSpl	Amphibia	-	Gastrotheca	splendens	VGP
Anura		Batrachia	Hylidae		aPleCha	Amphibia	-	Plectrohyla	charadricola	VGP
Anura		Batrachia	Hyperoliidae		aHypXen	Amphibia	-	Hyperolius	xenorhinus	VGP
Anura		Batrachia	Microhylidae		aCalVal	Amphibia	-	Callulops	valvifer	VGP
Anura		Batrachia	Odontophrynidae		aOdoMai	Amphibia	-	Odontophrynus	maisuma	VGP
Anura		Batrachia	Strabomantidae		aDisCol	Amphibia	-	Dischidodactylus	colonnelloi	VGP
Anura		Batrachia	Bufonidae		aAteChi	Amphibia	-	Atelopus	chirripoensis	VGP
Anura		Batrachia	Bufonidae		aTruTot	Amphibia	-	Truebella	tothastes	VGP
Anura		Batrachia	Microhylidae		aMicMac	Amphibia	-	Microhyla	maculifera	VGP
Anura		Batrachia	Odontophrynidae		aOdoMon	Amphibia	-	Odontophrynus	monachus	VGP
Anura		Batrachia	Rhacophoridae		aNycPic	Amphibia	Peter's Tree Frog	Nyctixalus	pictum	VGP
Anura		Batrachia	Strabomantidae		aDisDui	Amphibia	-	Dischidodactylus	duidensis	VGP
Anura		Batrachia	Arthroleptidae		aLepCry	Amphibia	-	Leptopelis	crystallinoron	VGP
Anura		Batrachia	Bufonidae		aAteCho	Amphibia	-	Atelopus	chocoensis	VGP
Anura		Batrachia	Dendrobatidae		aAnoBre	Amphibia	-	Anomaloglossus	breweri	VGP
Anura		Batrachia	Dendrobatidae		aHylWhy	Amphibia	-	Hyloxalus	whymperi	VGP
Anura		Batrachia	Megophryidae		aLepPal	Amphibia	-	Leptobrachella	pallida	VGP
Anura		Batrachia	Microhylidae		aChoAll	Amphibia	-	Choerophryne	allisoni	VGP
Anura		Batrachia	Microhylidae		aXenZwe	Amphibia	-	Xenorhina	zweifeli	VGP
Anura		Batrachia	Rhacophoridae		aNycSpi	Amphibia	Spiny Tree Frog	Nyctixalus	spinosum	VGP
