	ORDER	FAMILY	SPECIES	JUSTIFICATION	COPO	NHM	WYTHAM	TOL_SCOTLAND	long_list	family_representative	sample_collected
918	Psocodea	Paracaeciliidae	Chilenocaecilius ornatipennis	Monospecific family	COLLECTED	NOT COLLECTED	NOT COLLECTED	Sanger	DTOL	DTOL	DTOL
919	Psocodea	Peripsocidae	Peripsocus subfasciatus	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
920	Psocodea	Peripsocidae	Peripsocus phaeopterus	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
921	Psocodea	Philotarsidae	Philotarsus parviceps	Dispecific family	COLLECTED	NHM	NOT COLLECTED	Sanger	DTOL	DTOL	DTOL
922	Psocodea	Philotarsidae	Philotarsus picicornis	Dispecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
923	Psocodea	Psocidae	Metylophorus nebulosus	Availability	COLLECTED	NOT COLLECTED	NOT COLLECTED	Sanger	DTOL	DTOL	DTOL
924	Psocodea	Psocidae	Psococerastis gibbosa	Availability	COLLECTED	NHM	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	DTOL
925	Psocodea	Psoquillidae	Psoquilla marginepunctata		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
927	Psocodea	Psyllipsocidae	Psyllipsocus ramburii	Dispecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
928	Psocodea	Psyllipsocidae	Dorypteryx domestica	Dispecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
929	Psocodea	Sphaeropsocidae	Badonnelia titei	Monospecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
930	Psocodea	Stenopsocidae	Stenopsocus immaculatus	Availability	COLLECTED	NOT COLLECTED	WW	NOT COLLECTED	DTOL	DTOL	DTOL
931	Psocodea	Stenopsocidae	Graphopsocus cruciatus	Availability	COLLECTED	NOT COLLECTED	WW	NOT COLLECTED	DTOL	DTOL	DTOL
932	Psocodea	Trichopsocidae	Trichopsocus brincki	Availability	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	DTOL
933	Psocodea	Trichopsocidae	Trichopsocus dalii	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
934	Psocodea	Trogiidae	Cerobasis guestfalica	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
935	Psocodea	Trogiidae	Lepinotus patruelis	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
943	Siphonaptera	Hystrichopsyllidae	Typhloceras poppei 	Dispecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
1021	Araneae	Agelenidae	Eratagina duellica	Community survey	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
1088	Opiliones	Phalangodidae	Scotolemon doriae	Monospecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
1098	Pseudoscorpiones	Chthoniidae	Ephippiochthonius kewi 	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
