	gen	sp	fam	family_representative	long_list	other_priority
3807	Magdalaenaea	monogramma	Incertae sedis		DTOL	
3808	Chromosporium	lateritium	Incertae sedis		DTOL	
3810	Fumago	salicina	Incertae sedis		DTOL	
3813	Leptostromella	hysterioides	Incertae sedis		DTOL	
3815	Leptostromella	graminicola	Incertae sedis		DTOL	
3817	Acrophialophora	fusispora	Incertae sedis		DTOL	
3820	Dictyopolyschema	pirozynskii	Incertae sedis		DTOL	
3821	Bryostigma	muscigenum	Incertae sedis		DTOL	
3823	Microperella	quercus	Incertae sedis		DTOL	
3824	Blennoria	buxi	Incertae sedis		DTOL	
3827	Botryosporium	madrasense	Incertae sedis		DTOL	
3828	Camposporium	marylandicum	Incertae sedis		DTOL	
3829	Cephaliophora	tropica	Incertae sedis		DTOL	
3830	Hyphosoma	piceae	Incertae sedis		DTOL	
3835	Micropera	cotoneastri	Incertae sedis		DTOL	
3836	Catenuloxyphium	semiovatum	Incertae sedis		DTOL	
3837	Septoriella	phragmitis	Incertae sedis		DTOL	
3839	Stigmatea	sylvatica	Incertae sedis		DTOL	
3841	Xepiculopsis	graminea	Incertae sedis		DTOL	
3843	Cornucopiella	mirabilis	Incertae sedis		DTOL	
3845	Foveostroma	drupacearum	Incertae sedis		DTOL	
3846	Lentescospora	submarina	Incertae sedis		DTOL	
3848	Pleostigma	jungermannicola	Incertae sedis		DTOL	
3849	Zythia	trifolii	Incertae sedis		DTOL	
3852	Phragmocephala	cookei	Incertae sedis		DTOL	
3853	Sporidesmium	paludosum	Incertae sedis		DTOL	
3855	Rhinocladium	torulosum	Incertae sedis		DTOL	
3858	Sporidesmium	pseudobambusae	Incertae sedis		DTOL	
3859	Polyschema	clavulatum	Incertae sedis		DTOL	
3861	Sporidesmium	australiense	Incertae sedis		DTOL	
3862	Sporidesmium	bombacis	Incertae sedis		DTOL	
3863	Sporidesmium	cellulosum	Incertae sedis		DTOL	
3864	Sporidesmium	cymbispermum	Incertae sedis		DTOL	
3865	Sporidesmium	doliiforme	Incertae sedis		DTOL	
3866	Nematographium	stilboideum	Incertae sedis		DTOL	
3867	Sporidesmium	atrum	Incertae sedis		DTOL	
