SPECIES_IF_SF	GENUS_IF_SF	FAMILY_IF_SF	ORDER_IF_SF	sample_collected	sequencing_status
Cladosporium herbarum				DTOL	sample_collected
Clonostachys compactiuscula				DTOL	sample_collected
Clonostachys rosea				DTOL	sample_collected
Cordyceps fumosorosea				DTOL	sample_collected
Cyathus striatus				DTOL	sample_collected
Cylindrobasidium evolvens				DTOL	sample_collected
Didymella macrostoma				DTOL	sample_collected
Diplodia mutila				DTOL	sample_collected
Diplodia sapinea				DTOL	sample_collected
Diplodia seriata				DTOL	sample_collected
Dothiorella sp.				DTOL	sample_collected
Erysiphe alphitoides				DTOL	sample_collected
Exophiala oligosperma				DTOL	sample_collected
Fusarium graminearum				DTOL	sample_collected
Fusarium merismoides				DTOL	sample_collected
Fusarium oxysporum				DTOL	sample_collected
Fusarium poae				DTOL	sample_collected
Fusarium solani				DTOL	sample_collected
Fusarium sp.				DTOL	sample_collected
Fusarium tonkinense				DTOL	sample_collected
Hyaloscypha sp.				DTOL	sample_collected
Hypomyces microspermus				DTOL	sample_collected
Ilyonectria robusta				DTOL	sample_collected
Isaria farinosa				DTOL	sample_collected
Jattaea ribicola				DTOL	sample_collected
Jeremyomyces sp.				DTOL	sample_collected
Kodamaea sp.				DTOL	sample_collected
Lecanicillium muscarium				DTOL	sample_collected
Metapochonia bulbilosa				DTOL	sample_collected
Mortierella minutissima				DTOL	sample_collected
Mucor hiemalis				DTOL	sample_collected
Neoascochyta paspali				DTOL	sample_collected
Paraphaeosphaeria neglecta				DTOL	sample_collected
Parengyodontium album				DTOL	sample_collected
Penicillium cf. brevicompactum				DTOL	sample_collected
Pestalotiopsis sp.				DTOL	sample_collected
Pithomyces chartarum				DTOL	sample_collected
Pseudogymnoascus pannorum				DTOL	sample_collected
Samsoniella hepiali				DTOL	sample_collected
Trichocladium griseum				DTOL	sample_collected
Trichoderma albolutescens				DTOL	sample_collected
Trichoderma polysporum				DTOL	sample_collected
Trichoderma spirale				DTOL	sample_collected
Umbelopsis sp.				DTOL	sample_collected
Hericium erinaceus				DTOL	sample_collected
Coleophoma paracylindrospora				DTOL	sample_collected
Mariannaea camptospora				DTOL	sample_collected
Annulohypoxylon multiforme				DTOL	sample_collected
Beauveria bassiana				DTOL	sample_collected
Microsphaeropsis olivacea				DTOL	sample_collected
Cytospora ribis				DTOL	sample_collected
Nigrograna antibiotica				DTOL	sample_collected
Apiospora kogelbergensis				DTOL	sample_collected
Cephalotrichum stemonitis				DTOL	sample_collected
Phialocephala sp.				DTOL	sample_collected
Calcarisporium arbuscula				DTOL	sample_collected
Cephalotrichum sp.				DTOL	sample_collected
Chaetomium spinosum				DTOL	sample_collected
Didymella sp.				DTOL	sample_collected
Phoma sp.				DTOL	sample_collected
Albugo candida				DTOL	sample_collected
Blumeria graminis				DTOL	sample_collected
Cercospora mercurialis				DTOL	sample_collected
Ceuthospora buxi				DTOL	sample_collected
Ceuthospora euonymi				DTOL	sample_collected
Ceuthospora feurichii				DTOL	sample_collected
Chaetosphaerella phaeostroma				DTOL	sample_collected
Cucurbitaria berberidis				DTOL	sample_collected
Dendryphion comosum				DTOL	sample_collected
Dennisiella babingtonii				DTOL	sample_collected
Diplocarpon rosae				DTOL	sample_collected
Entyloma calendulae				DTOL	sample_collected
Entyloma dahliae				DTOL	sample_collected
Epichloe typhina				DTOL	sample_collected
Erysiphe heraclei				DTOL	sample_collected
Exobasidium japonicum				DTOL	sample_collected
Golovinomyces cynoglossi				DTOL	sample_collected
Golovinomyces monardae				DTOL	sample_collected
Golovinomyces salviae				DTOL	sample_collected
Hyaloperonospora lunariae				DTOL	sample_collected
Hyaloperonospora nesliae				DTOL	sample_collected
Hysterostegiella lauri				DTOL	sample_collected
Juglanconis juglandina				DTOL	sample_collected
Lophiostoma clematidis-vitalbae				DTOL	sample_collected
Lophodermium pinastri				DTOL	sample_collected
Microbotryum silenes-dioicae				DTOL	sample_collected
Microsphaeropsis concentrica				DTOL	sample_collected
