	Species_name	Subspecies	Common_Name	Family	Phase	sample_collected	sample_acquired	in_progress	insdc_submitted	sequencing_status	long_list	other_priority	family_representative
10398	Zimmerius chrysops		Golden-faced Tyrannulet	Tyrannidae							B10K		
10399	Zimmerius cinereicapilla		Red-billed Tyrannulet	Tyrannidae							B10K		
10400	Zimmerius gracilipes		Slender-footed Tyrannulet	Tyrannidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
10401	Zimmerius improbus		Mountain Tyrannulet	Tyrannidae							B10K		
10403	Zimmerius vilissimus		Paltry Tyrannulet	Tyrannidae							B10K		
10404	Zimmerius villarejoi		Mishana Tyrannulet	Tyrannidae							B10K		
10405	Zimmerius viridiflavus		Peruvian Tyrannulet	Tyrannidae							B10K		
10406	Zonerodius heliosylus		Forest Bittern	Ardeidae							B10K		
10407	Zonotrichia albicollis		White-throated Sparrow	Passerellidae	Phase Family	B10K	B10K	B10K	B10K	insdc_submitted	B10K		B10K
10408	Zonotrichia atricapilla		Golden-crowned Sparrow	Passerellidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
10409	Zonotrichia capensis		Rufous-collared Sparrow	Passerellidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
10410	Zonotrichia leucophrys		White-crowned Sparrow	Passerellidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
10411	Zonotrichia querula		Harris's Sparrow	Passerellidae							B10K		
10415	Zoothera andromedae		Sunda Thrush	Turdidae							B10K		
10416	Zoothera aurea		White's Thrush	Turdidae							B10K		
10417	Zoothera dauma		Scaly Thrush	Turdidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
10418	Zoothera dixoni		Long-tailed Thrush	Turdidae							B10K		
10419	Zoothera everetti		Everett's Thrush	Turdidae							B10K		
10420	Zoothera heinei		Russet-tailed Thrush	Turdidae							B10K		
10421	Zoothera lunulata		Bassian Thrush	Turdidae							B10K		
