institutionCode	otherCatalogNumbers	preservative	phylum	class	order	family	genus	specificEpithet	year	sequencing_status	sample_collected	sample_collected_by
NHMUK	NHMUK:ecatalogue:9528626	80% ethanol	Mollusca	Gastropoda	Stylommatophora	Oxychilidae	Oxychilus	cellarius	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9473764	Dry frozen (-80°C)	Mollusca	Gastropoda	Patellogastropoda	Lottiidae			2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248140	Liquid Nitrogen	Arthropoda	Insecta	Hymenoptera	Braconidae	Phanerotoma	dentata	2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9458852	Dry frozen (-80°C)		Insecta	Lepidoptera	Noctuidae	Lithophane	leautieri	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9173511	Dry frozen (-200°C)	Arthropoda	Insecta	Coleoptera	Hydrophilidae	Enochrus	testaceus	2019	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9294750	Liquid Nitrogen		Insecta	Siphonaptera	Pulicidae	Archaeopsylla	erinacei	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9413235	Dry frozen (-80°C)		Insecta	Lepidoptera	Noctuidae	Eremobia	ochroleuca	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248135	Liquid Nitrogen	Arthropoda	Diplopoda		Julidae	Ommatoiulus	sabulosus	2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9413239	Dry frozen (-80°C)	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Maniola	jurtina	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9254346	Liquid Nitrogen	Arthropoda	Arachnida	Araneae	Linyphiidae	Erigone		2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9473965	80% ethanol	Chordata	Ascidiacea					2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9247982	Dry frozen (-200°C)	Arthropoda	Malacostraca	Amphipoda	Corophiidae	Corophium	volutator	2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9528609	80% ethanol	Arthropoda	Malacostraca	Isopoda	Porcellionidae	Porcellio	spinicornis	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9473894	Dry frozen (-80°C)		Polychaeta		Phyllodocidae	Eteone		2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9254419	100% ethanol	Arthropoda	Arachnida	Araneae	Nesticidae	Nesticus	cellulanus	2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9203186	Liquid Nitrogen	Arthropoda	Insecta	Hymenoptera	Vespidae	Vespa	crabro	2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9473763	Dry frozen (-80°C)	Mollusca	Gastropoda	Patellogastropoda	Lottiidae			2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248136	Liquid Nitrogen	Arthropoda	Insecta	Neuroptera	Coniopterygidae	Semidalis	pseudouncinata	2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248275	Liquid Nitrogen	Arthropoda	Insecta	Coleoptera	Curculionidae	Sitona	lineatus	2020	sample_collected	DTOL	NHM
