Species	Phylum	Class	Order	Family	Genus	Status	project
Neomonodus ovalis	Stramenopiles	Eustigmatophyceae	Eustigmatales	Pseudocharaciopsidaceae	Neomonodus	sample_collected	DTOL
Thaumatomonas zhukovi	Cercozoa	Imbricatea	Thaumatomonadida	Thaumatomastigidae	Thaumatomonas	sample_collected	DTOL
Tabellaria sp.	Stramenopiles/Ochrophyta	Fragilariophyceae	Tabellariales	Tabellariaceae	Tabellaria	sample_collected	DTOL
Heterochlamydomonas rugosa	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Heterochlamydomonas	sample_collected	DTOL
Paramecium bursaria	Alveolata/Ciliophora	Oligohymenophorea	Peniculida	Parameciidae	Paramecium		DTOL
Vorticella microstoma	Alveolata/Ciliophora	Oligohymenophorea	Sessilida	Vorticellidae	Vorticella	sample_collected	DTOL
Monoraphidium convolutum	Chlorophyta	Chlorophyceae	Sphaeropleales	Selenastraceae	Monoraphidium	sample_collected	DTOL
Microspora stagnorum	Chlorophyta	Chlorophyceae	Sphaeropleales	Microsporaceae	Microspora	sample_collected	DTOL
Draparnaldia mutabilis	Chlorophyta	Chlorophyceae	Chaetophorales	Chaetophoraceae	Draparnaldia	sample_collected	DTOL
Draparnaldia glomerata	Chlorophyta	Chlorophyceae	Chaetophorales	Chaetophoraceae	Draparnaldia	sample_collected	DTOL
Phacotus lenticularis	Chlorophyta	Chlorophyceae	Chlamydomonadales	Phacotaceae	Phacotus	sample_collected	DTOL
Cylindrocystis brebissonii	Streptophyta/Charophyta	Zygnemophyceae/Conjugatophyceae	Zygnematales	Mesotaeniaceae	Cylindrocystis	sample_collected	DTOL
Polytomella magna	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Polytomella	sample_collected	DTOL
Staurastrum polymorphum	Streptophyta/Charophyta	Zygnemophyceae/Conjugatophyceae	Desmidiales	Desmidiaceae	Staurastrum	sample_collected	DTOL
Paraphysomonas ovalis	Stramenopiles/Ochrophyta	Chrysophycaeae	Chromulinales	Paraphysomonadaceae	Paraphysomonas	sample_collected	DTOL
Pseudopedinella sp.	Stramenopiles/Ochrophyta	Dictyochophyceae	Pedinellales		Pseudopedinella		DTOL
