NCBI_taxon_id	Genus	species	family	target_list_status	sequencing_status_illumina	synonym	sequencing_status_pacbio	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	insdc_open	published
44414	Phytoseiulus	persimilis	Phytoseiidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
565147	Dendrobaena	attemsi	Lumbricidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
70201	Acrobeloides		Cephalobidae		in_assembly	cf. buchneri		METAINVERT			METAINVERT	METAINVERT	METAINVERT		
70201	Acrobeloides	obliquus	Cephalobidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
290746	Acrobeloides	nanus	Cephalobidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
96599	Acrobeloides	thornei	Cephalobidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
70226	Aphelenchus	avenae	Aphelenchidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
288457	Discolaimus	major	Qudsianematidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
97005	Heterodera	schachtii	Heteroderidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
6306	Meloidogyne	incognita	Meloidogynidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
344383	Mesodorylaimus	bastiani	Dorylaimidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
6233	Panagrellus	redivivus	Panagrolaimidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
310956	Panagrolaimus	detritophagus	Panagrolaimidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
6243	Phasmarhabditis	papillosa	Rhabditidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
2072759	Plectus	exinocaudatus	Plectidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
211404	Plectus	parietinus	Plectidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
96659	Poikilolaimus	oxycerca	Rhabditidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
293874	Prionchulus	punctatus	Mononchidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
288633	Prismatolaimus	dolichurus	Prismatolaimidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
288490	Rotylenchus	robustus	Hoplolaimidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
229769	Achipteria	coleoptrata	Achipteriidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
229768	Achipteria	nitens	Achipteriidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
708363	Adoristes	ovatus	Liacaridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
229743	Atropacarus	striculus	Steganacaridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
2241992	Belba	bartosi	Damaeidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
198258	Camisia	spinifer	Camisiidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
229793	Carabodes	femoralis	Carabodidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1686620	Ceratozetes	gracilis	Ceratozetidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
503572	Chamobates	pusillus	Chamobatidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
198262	Chamobates	voigtsi	Chamobatidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1401282	Ctenobelba	pectinigera	Ctenobelbidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
2421364	Cultroribula	bicultrata	Astegistidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
2202870	Dissorhina	ornata	Oppiidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
2202872	Edwardzetes	edwardsi	Ceratozetidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
229763	Eniochthonius	minutissimus	Eniochthoniidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1401269	Eueremaeus	valkanovi	Eremaeidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
2234141	Eupelops	occultus	Phenopelopidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
198282	Eupelops	torulosus	Phenopelopidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
334610	Euzetes	globulus	Euzetidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1686651	Fuscozetes	fuscipes	Ceratozetidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
229834	Galumna	lanceata	Galumnidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
885392	Galumna	obvia	Galumnidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1685391	Gustavia	microcephala	Gustaviidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
2547479	Hafenrefferia	gilvipes	Tenuialidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
2664691	Heminothrus	targionii	Camisiidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
229873	Hermannia	gibba	Hermanniidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
885393	Hermanniella	punctulata	Hermanniellidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
198285	Liacarus	coracinus	Liacaridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
198284	Liacarus	xylariae	Liacaridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1250587	Liebstadia	similis	Liebstadiidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1797415	Malaconothrus	monodactylus	Malaconothridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
334620	Mesoplophora	pulchra	Mesoplophoridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
229776	Metabelba	pulverosa	Damaeidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
229747	Microtritia	minima	Euphthiracaridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1979919	Minunthozetes	semirufus	Punctoribatidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
