	ORDER	FAMILY	SPECIES	JUSTIFICATION	COPO	NHM	WYTHAM	TOL_SCOTLAND	long_list	family_representative	other_priority	sample_collected
434	Diptera	Trichoceridae	Trichocera regelationis		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
436	Diptera	Trixoscelididae	Trixoscelis marginella		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
438	Diptera	Ulidiidae	Dorycera graminum		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
440	Diptera	Xylomyidae	Xylomya maculata		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
442	Diptera	Xylophagidae	Xylophagus ater		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
444	Ephemeroptera	Ameletidae	Ameletus inopinatus		NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
446	Ephemeroptera	Arthropleidae	Arthroplea congener		NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
448	Ephemeroptera	Baetidae	Cloeon dipterum		COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
450	Ephemeroptera	Caenidae	Caenis horaria		COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
452	Ephemeroptera	Ephemerellidae	Ephemerella notata		COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
454	Ephemeroptera	Ephemeridae	Ephemera danica		COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
456	Ephemeroptera	Heptageniidae	Heptagenia sulphurea		COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
458	Ephemeroptera	Potamanthidae	Potamanthus luteus		NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
460	Ephemeroptera	Siphlonuridae	Siphlonurus alternatus		NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
462	Hemiptera	Acanthosomatidae	Acanthosoma haemorrhoidale		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
464	Hemiptera	Adelgidae	Adelges laricis		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
466	Hemiptera	Aleyrodidae	Aleyrodes lonicerae		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
468	Hemiptera	Alydidae	Alydus calcaratus		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
470	Hemiptera	Anthocoridae	Anthocoris nemorum		NOT COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
472	Hemiptera	Aphalaridae	Aphalara exilis		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
474	Hemiptera	Aphelocheiridae	Aphelocheirus aestivalis		COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
476	Hemiptera	Aphididae	Aphis fabae		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
479	Hemiptera	Aphididae	Aphis fabae	Community survey	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
478	Hemiptera	Aphididae	Macrosiphum rosae	Community survey	COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
480	Hemiptera	Aphrophoridae	Aphrophora alni	Availability	COLLECTED	COLLECTED	COLLECTED	COLLECTED	DTOL	DTOL		DTOL
481	Hemiptera	Aphrophoridae	Philaenus spumarius	Community survey	NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
482	Hemiptera	Aradidae	Aradus depressus		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
